county,precinct,office,district,party,candidate,votes,vtd
FORD,Dodge City Precinct 01,Governor,,Democratic,"Davis, Paul",143,00005A
FORD,Dodge City Precinct 01,Governor,,Libertarian,"Umbehr, Keen A.",21,00005A
FORD,Dodge City Precinct 01,Governor,,Republican,"Brownback, Sam",211,00005A
FORD,Dodge City Airport,Governor,,Democratic,"Davis, Paul",0,00005B
FORD,Dodge City Airport,Governor,,Libertarian,"Umbehr, Keen A.",0,00005B
FORD,Dodge City Airport,Governor,,Republican,"Brownback, Sam",0,00005B
FORD,Dodge City Industrial Park,Governor,,Democratic,"Davis, Paul",0,00005C
FORD,Dodge City Industrial Park,Governor,,Libertarian,"Umbehr, Keen A.",0,00005C
FORD,Dodge City Industrial Park,Governor,,Republican,"Brownback, Sam",0,00005C
FORD,Dodge City Precinct 03,Governor,,Democratic,"Davis, Paul",137,70
FORD,Dodge City Precinct 03,Governor,,Libertarian,"Umbehr, Keen A.",12,70
FORD,Dodge City Precinct 03,Governor,,Republican,"Brownback, Sam",122,70
FORD,Dodge City Precinct 04,Governor,,Democratic,"Davis, Paul",252,00008A
FORD,Dodge City Precinct 04,Governor,,Libertarian,"Umbehr, Keen A.",38,00008A
FORD,Dodge City Precinct 04,Governor,,Republican,"Brownback, Sam",343,00008A
FORD,Dodge City Excel #1,Governor,,Democratic,"Davis, Paul",0,00008B
FORD,Dodge City Excel #1,Governor,,Libertarian,"Umbehr, Keen A.",0,00008B
FORD,Dodge City Excel #1,Governor,,Republican,"Brownback, Sam",0,00008B
FORD,Dodge City Excel #2,Governor,,Democratic,"Davis, Paul",0,00008C
FORD,Dodge City Excel #2,Governor,,Libertarian,"Umbehr, Keen A.",0,00008C
FORD,Dodge City Excel #2,Governor,,Republican,"Brownback, Sam",0,00008C
FORD,Dodge City Millard,Governor,,Democratic,"Davis, Paul",0,00008D
FORD,Dodge City Millard,Governor,,Libertarian,"Umbehr, Keen A.",0,00008D
FORD,Dodge City Millard,Governor,,Republican,"Brownback, Sam",0,00008D
FORD,Dodge City Precinct 06,Governor,,Democratic,"Davis, Paul",534,100
FORD,Dodge City Precinct 06,Governor,,Libertarian,"Umbehr, Keen A.",49,100
FORD,Dodge City Precinct 06,Governor,,Republican,"Brownback, Sam",855,100
FORD,Dodge Township Ward 3,Governor,,Democratic,"Davis, Paul",5,200
FORD,Dodge Township Ward 3,Governor,,Libertarian,"Umbehr, Keen A.",1,200
FORD,Dodge Township Ward 3,Governor,,Republican,"Brownback, Sam",17,200
FORD,Dodge Township H115,Governor,,Democratic,"Davis, Paul",49,120020
FORD,Dodge Township H115,Governor,,Libertarian,"Umbehr, Keen A.",9,120020
FORD,Dodge Township H115,Governor,,Republican,"Brownback, Sam",124,120020
FORD,Dodge Township H119 A,Governor,,Democratic,"Davis, Paul",0,12003A
FORD,Dodge Township H119 A,Governor,,Libertarian,"Umbehr, Keen A.",0,12003A
FORD,Dodge Township H119 A,Governor,,Republican,"Brownback, Sam",1,12003A
FORD,Dodge Township H119,Governor,,Democratic,"Davis, Paul",10,120030
FORD,Dodge Township H119,Governor,,Libertarian,"Umbehr, Keen A.",1,120030
FORD,Dodge Township H119,Governor,,Republican,"Brownback, Sam",24,120030
