county,precinct,office,district,party,candidate,votes,vtd
Ford,Dodge City Precinct 01,State Senate,38,Democratic,"Rodriguez, Miguel Angel",234,00005A
Ford,Dodge City Precinct 01,State Senate,38,Republican,"Estes, Bud",285,00005A
Ford,Dodge City Airport,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,00005B
Ford,Dodge City Airport,State Senate,38,Republican,"Estes, Bud",0,00005B
Ford,Dodge City Industrial Park,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,00005C
Ford,Dodge City Industrial Park,State Senate,38,Republican,"Estes, Bud",0,00005C
Ford,Dodge City Precinct 03,State Senate,38,Democratic,"Rodriguez, Miguel Angel",215,70
Ford,Dodge City Precinct 03,State Senate,38,Republican,"Estes, Bud",188,70
Ford,Dodge City Precinct 04,State Senate,38,Democratic,"Rodriguez, Miguel Angel",318,00008A
Ford,Dodge City Precinct 04,State Senate,38,Republican,"Estes, Bud",487,00008A
Ford,Dodge City Excel #1,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,00008B
Ford,Dodge City Excel #1,State Senate,38,Republican,"Estes, Bud",0,00008B
Ford,Dodge City Excel #2,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,00008C
Ford,Dodge City Excel #2,State Senate,38,Republican,"Estes, Bud",0,00008C
Ford,Dodge City Millard,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,00008D
Ford,Dodge City Millard,State Senate,38,Republican,"Estes, Bud",0,00008D
Ford,Dodge City Precinct 06,State Senate,38,Democratic,"Rodriguez, Miguel Angel",387,100
Ford,Dodge City Precinct 06,State Senate,38,Republican,"Estes, Bud",1241,100
Ford,Dodge Township Ward 3,State Senate,38,Democratic,"Rodriguez, Miguel Angel",7,200
Ford,Dodge Township Ward 3,State Senate,38,Republican,"Estes, Bud",20,200
Ford,Fairview Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",16,220
Ford,Fairview Township,State Senate,38,Republican,"Estes, Bud",93,220
Ford,Ford City,State Senate,38,Democratic,"Rodriguez, Miguel Angel",7,230
Ford,Ford City,State Senate,38,Republican,"Estes, Bud",75,230
Ford,Ford Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",10,240
Ford,Ford Township,State Senate,38,Republican,"Estes, Bud",62,240
Ford,Richland Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",38,260
Ford,Richland Township,State Senate,38,Republican,"Estes, Bud",174,260
Ford,Royal Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",19,270
Ford,Royal Township,State Senate,38,Republican,"Estes, Bud",100,270
Ford,Sodville Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",3,280
Ford,Sodville Township,State Senate,38,Republican,"Estes, Bud",42,280
Ford,Spearville City,State Senate,38,Democratic,"Rodriguez, Miguel Angel",65,300
Ford,Spearville City,State Senate,38,Republican,"Estes, Bud",311,300
Ford,Spearville Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",19,310
Ford,Spearville Township,State Senate,38,Republican,"Estes, Bud",166,310
Ford,Wheatland Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",5,320
Ford,Wheatland Township,State Senate,38,Republican,"Estes, Bud",63,320
Ford,Wilburn Township,State Senate,38,Democratic,"Rodriguez, Miguel Angel",2,330
Ford,Wilburn Township,State Senate,38,Republican,"Estes, Bud",37,330
Ford,Dodge Township H115,State Senate,38,Democratic,"Rodriguez, Miguel Angel",34,120020
Ford,Dodge Township H115,State Senate,38,Republican,"Estes, Bud",176,120020
Ford,Dodge Township H119 A,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,12003A
Ford,Dodge Township H119 A,State Senate,38,Republican,"Estes, Bud",0,12003A
Ford,Dodge Township H119,State Senate,38,Democratic,"Rodriguez, Miguel Angel",3,120030
Ford,Dodge Township H119,State Senate,38,Republican,"Estes, Bud",25,120030
Ford,Enterprise Township H115,State Senate,38,Democratic,"Rodriguez, Miguel Angel",52,120040
Ford,Enterprise Township H115,State Senate,38,Republican,"Estes, Bud",133,120040
Ford,Enterprise Township H119,State Senate,38,Democratic,"Rodriguez, Miguel Angel",6,120050
Ford,Enterprise Township H119,State Senate,38,Republican,"Estes, Bud",1,120050
Ford,Grandview Township H115,State Senate,38,Democratic,"Rodriguez, Miguel Angel",30,120060
Ford,Grandview Township H115,State Senate,38,Republican,"Estes, Bud",151,120060
Ford,Grandview Township East H119,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,12007A
Ford,Grandview Township East H119,State Senate,38,Republican,"Estes, Bud",4,12007A
Ford,Grandview Township H119,State Senate,38,Democratic,"Rodriguez, Miguel Angel",0,120070
Ford,Grandview Township H119,State Senate,38,Republican,"Estes, Bud",0,120070
Ford,Grandview Township Ward 2 H115,State Senate,38,Democratic,"Rodriguez, Miguel Angel",10,120080
Ford,Grandview Township Ward 2 H115,State Senate,38,Republican,"Estes, Bud",28,120080
