census_block_group,visitor_home_cbgs,income,rent,unemploy_ratio
551332034064.0,"{""551314601013"":124,""551332034031"":110,""551314601024"":67,""551332034033"":65,""551332034052"":64,""551332034032"":61,""551332034062"":61,""551332034041"":59,""551332034063"":57,""551314601011"":55,""551332033041"":55,""551332034061"":53}",440,15,0.023379383634431452
551010007005.0,"{""551010007003"":55}",473,208,0.0
551199604002.0,"{""551199605003"":59,""551199601003"":51,""551199606002"":51}",1151,309,0.021957040572792356
551270008003.0,"{""551270016031"":72,""551270009014"":60,""551270009011"":57}",231,68,0.04339250493096647
550790113002.0,"{""550790113001"":71,""550790144001"":61}",620,484,0.0
550870108001.0,"{""550150207001"":75,""551390025004"":70,""550150203081"":61,""550150208001"":60,""550870125051"":50}",268,34,0.0077220077220077205
551314501051.0,"{""551314501032"":151,""551314501042"":137,""551314401043"":111,""551314501061"":108,""551314401051"":97,""551314401031"":96,""551314401032"":93,""551314601013"":93,""551314401041"":84,""551314702041"":81,""551314501062"":76,""551314301003"":75,""551314501031"":75,""551314601011"":75,""551314301001"":69,""551314401061"":65,""551314501063"":63,""551314501041"":59,""550390411004"":56,""551314201035"":53,""550150207001"":53}",761,41,0.051094890510948905
551390015002.0,"{""551390019002"":66}",457,170,0.028571428571428567
550790062003.0,{},136,100,0.10769230769230768
550791202033.0,"{""550791603001"":131,""550791603004"":106,""551332015042"":89,""550791205013"":83,""550791201011"":81,""550791501004"":79,""550791402011"":74,""550791501003"":71,""550790197003"":68,""550790216002"":68,""550791204003"":67,""550791873003"":66,""550791402023"":66,""550790215003"":65,""550791202022"":64,""550791402024"":63,""550791603003"":62,""551332017042"":62,""551332034052"":62,""550791402012"":60,""551332021012"":60,""551314702041"":60,""550790195002"":58,""550791503041"":58,""550791204002"":58,""550790216001"":57,""550790194001"":56,""550791402013"":55,""551332015061"":55,""550791872002"":55,""550791503012"":54,""550791402022"":53,""551332017034"":53,""550791202011"":51,""550791203001"":51,""550791602022"":51,""550791602032"":51,""551332015041"":51,""550791601002"":50,""550791704002"":50}",739,379,0.039808917197452234
550870109001.0,{},482,129,0.027382256297918944
551390020003.0,"{""551390020002"":112,""551390021002"":83,""551390020005"":76,""551390021001"":58,""551390018041"":58,""551390022012"":57,""551379607001"":53,""551390018043"":51}",571,145,0.02573879885605338
551410102002.0,"{""551410102003"":60}",598,162,0.03942953020134228
550590001002.0,"{""550590003001"":109,""550590006014"":72,""550590001001"":61}",765,360,0.1104
550630104024.0,"{""550630102022"":143,""550630102011"":139,""550630102021"":135,""550630104012"":114,""550630104021"":92,""550630104023"":89,""550630102012"":85,""550630104022"":78,""550630106001"":63,""550630102031"":61,""550630104025"":58,""550630105004"":54,""550630103002"":52,""550630105001"":51}",920,490,0.08084577114427859
550790006003.0,"{""550790003042"":99,""550790003021"":79,""550790014002"":54}",558,73,0.0
550050004003.0,"{""550050004002"":67,""550050008003"":63,""550050005002"":61,""550050003001"":53}",202,65,0.00992555831265509
550139707002.0,"{""550139704003"":67}",504,59,0.032188841201716736
550310207003.0,"{""550310302001"":56,""550310207002"":50}",704,284,0.04920514761544285
550896502001.0,"{""550896503004"":158,""550896501013"":104,""550896602022"":103,""550896503001"":100,""550896501022"":79,""551314501042"":76,""550896402002"":73,""551314501032"":69,""550896501011"":64,""550896502002"":64,""550896503003"":62,""550896603041"":61,""550896402001"":56,""550896501014"":56,""550896602023"":55,""550896603011"":54,""550896602012"":50}",1135,464,0.03573130061934254
550896603031.0,"{""550896602022"":163,""550896603041"":151,""550896502001"":135,""550896603013"":123,""550896503004"":109,""550896603011"":99,""550896501013"":98,""550896402001"":92,""550896503001"":91,""550896402002"":89,""550896602023"":84,""550896402004"":77,""550896603033"":75,""550896302021"":74,""550790301003"":71,""551314501032"":70,""550896602021"":70,""550896602012"":69,""550896603034"":69,""551170107002"":68,""551314702041"":67,""550896501022"":63,""550896602011"":62,""550896201001"":60,""550896603032"":59,""550896601002"":58,""550790401001"":58,""550896201003"":55,""550896501011"":55,""550896302022"":54,""550896401005"":52,""550790601022"":52,""550090207021"":52,""550896101021"":52}",732,276,0.0
551010010013.0,"{""551010017051"":96,""551010017032"":59,""551010016013"":54}",478,463,0.1179245283018868
551010014006.0,"{""551010015053"":50}",307,83,0.03244274809160305
551050025002.0,"{""551050026013"":62,""551050025001"":55}",375,120,0.0
551151001002.0,"{""550831013002"":61,""550831013001"":50}",357,40,0.03201970443349754
551170002011.0,"{""551170003002"":111,""551170002022"":98,""551170107002"":93,""551170107001"":86,""551170002021"":72,""551170001001"":65,""551170004001"":65,""551170008003"":63,""551170002012"":54,""551170003003"":54,""551170005001"":52}",574,281,0.05008635578583765
550571003003.0,{},344,51,0.029595015576323987
550571007001.0,{},390,63,0.028255528255528257
550250027003.0,"{""550250120013"":141,""550250112002"":91,""550250114023"":88,""550250114012"":87,""550250115031"":80,""550250026032"":77,""550250026031"":76,""550250120011"":72,""550250024021"":62,""550250115032"":61,""550250030021"":58,""550250030022"":57,""550250031003"":56,""550250120012"":54,""550250114011"":54,""550250117002"":54}",548,92,0.0261437908496732
550511803001.0,{},683,195,0.01497504159733777
550790074001.0,"{""550790077003"":74,""550790078003"":59}",226,117,0.009884678747940693
550870105004.0,"{""550150207001"":184,""550150203081"":117,""550150203062"":103,""550870133001"":98,""550870133002"":94,""550870120002"":90,""550150208002"":86,""550870125031"":76,""550870125042"":72,""550870115023"":71,""550870106022"":70,""550870121004"":70,""550870125051"":69,""550870106011"":69,""550150203063"":66,""550870111022"":63,""550870125032"":61,""550150208001"":60,""550870120004"":56,""550870107003"":51,""550870120001"":51,""550150203082"":51,""550870106013"":51}",339,206,0.026862026862026867
550099400014.0,"{""550099400013"":388,""550870133001"":162,""550090214003"":154,""550090207021"":154,""550150207001"":136,""550831013002"":119,""550090205041"":118,""550870133002"":117,""550870129012"":107,""550099400012"":106,""550090102012"":105,""550090018022"":98,""550150203081"":90,""550090207032"":85,""550870125051"":79,""550090205034"":78,""550150203062"":78,""550090202033"":76,""550870121004"":76,""550090020031"":73,""550870126014"":71,""550090202042"":70,""550870125042"":70,""550870120002"":69,""550090202043"":66,""550870129013"":66,""550090018021"":64,""551390024001"":64,""550870125031"":63,""550090205031"":63,""550090102023"":62,""550090214002"":62,""551390024005"":62,""550099400021"":61,""550870119002"":60,""550090205042"":59,""550090202031"":59,""550099400015"":57,""550619604003"":57,""550090214001"":56,""550090201002"":56,""550090103005"":56,""550150208002"":56,""550870126012"":55,""550090101001"":54,""550870125032"":54,""550090020021"":54,""550870129011"":53,""550090102022"":53,""550090213013"":52,""550870128005"":50}",651,24,0.0
550710101002.0,"{""550710102002"":71,""550710101004"":57}",508,58,0.02
550790092001.0,"{""550790005022"":56,""550790003021"":52}",313,188,0.13017031630170317
550790184001.0,"{""550790180001"":58}",305,110,0.03254972875226041
550630101012.0,"{""550819503001"":85,""550630101011"":63,""550630101022"":51,""550819509003"":50}",534,78,0.03597122302158274
550791005003.0,"{""551332015042"":87,""550791603001"":86,""550791603004"":78,""551314702041"":67,""551332019002"":60,""551332015041"":58,""551332017042"":56,""551332034052"":56,""550791501004"":55,""550791503041"":54,""550791201011"":52,""550791873003"":50}",518,227,0.050448430493273536
550959602001.0,{},323,34,0.027960526315789474
551050013032.0,"{""551050013041"":261,""551050012023"":165,""551050013031"":139,""551050031005"":112,""551050013025"":94,""551270005011"":91,""550551016001"":80,""551050013042"":80,""551050012013"":74,""550551013003"":73,""551050031001"":71,""551050013021"":68,""550551012021"":66,""551050012012"":66,""551050014004"":64,""551050030021"":63,""550551014002"":62,""551050031002"":61,""551050007002"":58,""551050009002"":57,""551050006001"":55,""551270005021"":55,""551050031003"":53,""550551013001"":53,""551050007001"":52,""551050030024"":51,""551050029004"":50}",830,118,0.0173572228443449
551332033063.0,"{""551332034052"":194,""551332033042"":151,""551332021012"":132,""551332033052"":129,""551332033041"":123,""550551017022"":118,""551314601013"":115,""551332037032"":106,""551332034031"":97,""551332034051"":95,""551332031026"":95,""551332042005"":94,""551332042002"":93,""551332043011"":88,""551332034064"":88,""551332037031"":86,""551332038031"":85,""551332041004"":83,""551332035003"":79,""551332037043"":78,""551332034063"":76,""551332038042"":72,""551332033062"":72,""551332036024"":71,""551332045022"":70,""551314702041"":69,""551332038032"":67,""551332032003"":67,""551332045025"":66,""551332031015"":65,""551332036023"":65,""551332033061"":65,""551332034033"":65,""551332037041"":65,""551332034041"":64,""551332033033"":63,""550250112002"":63,""551332015042"":63,""551332032001"":62,""551332008012"":61,""551332024003"":61,""550791603001"":60,""551332040033"":60,""551332035004"":60,""551332023013"":60,""551332022024"":59,""551332036021"":59,""551332041003"":58,""551332012023"":57,""551332036011"":57,""550551003001"":56,""551332005001"":56,""551332033031"":56,""551332040042"":56,""551332015041"":55,""551332043021"":55,""551332036022"":55,""551332035005"":55,""551332034024"":55,""551332008031"":54,""551332017034"":54,""551332004001"":54,""550250114023"":54,""551332041001"":54,""550551017021"":54,""551332038041"":54,""550551008003"":54,""551332038045"":54,""551332012021"":54,""551332008011"":53,""551314601024"":53,""550551007001"":53,""550250109011"":53,""551332031014"":53,""551332032002"":52,""551332034061"":52,""551332034065"":52,""550250120013"":52,""551332021023"":52,""551332005002"":52,""551314501042"":52,""550279615003"":52,""551332037024"":51,""551332034032"":51,""551332043012"":51,""551332045021"":50,""551332031012"":50,""551332040032"":50}",756,298,0.009153318077803204
550050009001.0,{},278,31,0.03571428571428572
550551005003.0,"{""550551005002"":106,""550551004001"":81,""550551005001"":67,""550551006011"":59}",1149,491,0.02154398563734291
550730016003.0,"{""550730011021"":156,""550730012011"":86,""550730016004"":54,""550730011022"":52}",709,64,0.03134996801023673
550790098001.0,"{""550790090003"":50}",485,340,0.15646940822467403
551050030014.0,"{""551050030013"":106,""551050030021"":93,""551050030024"":91,""551050012023"":69,""551050030022"":61,""551050030011"":56}",539,191,0.0
551110007001.0,"{""551110006002"":210,""550250109011"":89,""551110004011"":88,""550250112002"":86,""551110006003"":84,""551110003004"":81,""551110008002"":78,""551110005002"":72,""551110006001"":66,""551110010012"":65,""551110001003"":63,""551110011003"":63,""550250113011"":60,""550250128004"":60,""550250129001"":58,""550219708004"":57,""551110005003"":55,""550250131004"":54,""550499501001"":54,""550250129002"":53}",1121,340,0.022251308900523556
551332001033.0,"{""551314702041"":165,""551332004001"":129,""551314702021"":88,""551332002012"":87,""551332002021"":77,""551314501042"":74,""551332005003"":69,""551314701002"":68,""551332004003"":68,""551332005001"":61,""551332001031"":61,""551332005002"":56,""551314501032"":52,""551332001032"":51,""551314601013"":51,""551314601011"":50}",462,75,0.0
550250014023.0,"{""550250109011"":158,""550250125022"":126,""550250014033"":126,""550250014032"":122,""550250137001"":117,""550250120013"":97,""550250108005"":94,""550250014031"":87,""550250107023"":86,""550250006002"":84,""550250114023"":81,""550250128004"":78,""550250015023"":78,""550250108001"":78,""550250125011"":74,""550250109031"":72,""550250125023"":71,""550250107013"":65,""550459601002"":65,""550250115031"":64,""550250109044"":64,""550250124001"":64,""550250124002"":63,""550250128003"":61,""550250014011"":60,""550250109042"":60,""550250005035"":59,""550250004061"":59,""550250115032"":58,""550250107021"":57,""550250005043"":55,""550250126003"":53,""550250107011"":52,""550250112002"":51,""550250108002"":51,""550250109041"":51,""550250113011"":50,""550250105024"":50,""550250114012"":50}",927,829,0.10900473933649288
550679607002.0,"{""550679604001"":66,""550679607003"":55,""550679606004"":54}",386,196,0.0
550730007002.0,"{""550730011021"":181,""550730012011"":117,""550730007001"":92,""550730008001"":70,""550730011022"":70,""550730003001"":68,""550730011044"":57,""550730013004"":56,""550730014001"":56,""550730011032"":55,""550730006022"":54,""550730007003"":54,""550730008002"":50}",416,341,0.027456647398843927
551270004003.0,"{""550551016001"":126,""551270005011"":107,""551270005021"":71,""551270004002"":61}",281,147,0.0067453625632377745
551332005003.0,"{""551332004001"":140,""551332005001"":104,""551332005002"":98,""551314702041"":85,""551332004003"":71,""551332034031"":71,""551332007002"":62,""551332003004"":57,""551332002012"":56,""551332008031"":52,""551332004004"":51,""551332034064"":50}",642,5,0.03671071953010279
551332033064.0,"{""551332034052"":192,""551332033052"":134,""551332033041"":121,""550551017022"":117,""551332033042"":112,""551332037032"":103,""551332043011"":100,""551332034051"":95,""551332042002"":92,""551332042005"":88,""551332037031"":87,""551332031026"":85,""551332035003"":82,""551332041004"":79,""551332045022"":75,""551332021012"":75,""551332037043"":73,""551332034063"":72,""551332036024"":71,""551332038031"":69,""551332032001"":66,""551332033033"":65,""551332045025"":65,""551332036023"":64,""551332034031"":64,""551332033063"":63,""551332038042"":62,""550250112002"":61,""551332045021"":61,""551332036021"":60,""551332032003"":60,""551332035004"":60,""551314601013"":60,""551332031015"":58,""551332038032"":58,""550279615003"":58,""551332043021"":57,""551332040033"":57,""551332036011"":57,""551332037041"":57,""551332035005"":55,""551332033031"":55,""550551017021"":55,""551332033053"":53,""551332043012"":53,""551332036022"":52,""551332034064"":51,""551332015042"":51,""550791603001"":51,""551332032002"":50,""551332038041"":50,""551332040042"":50,""551332041003"":50}",582,343,0.03015075376884422
550870111021.0,"{""550870125051"":154,""550870111022"":122,""550870126014"":111,""550870126012"":85,""550870125031"":74,""550870133002"":73,""550870115023"":67,""550870126011"":63,""550870125061"":63,""550870111023"":61,""550870128005"":56,""550870111014"":56,""550870126023"":53,""550870129012"":53,""550150207001"":52,""550870125032"":52,""550870129022"":50,""550870125042"":50}",868,746,0.0086264100862641
550090210001.0,"{""550099400013"":299,""550090207021"":242,""550090018022"":144,""550090207032"":129,""550831013002"":122,""550090205041"":122,""550090102012"":112,""550090101001"":111,""550099400012"":106,""550090020031"":101,""550090020021"":95,""550090201002"":91,""550090018021"":91,""550619604003"":87,""550099400021"":85,""550090202033"":84,""550090103005"":79,""550090207033"":76,""550090205034"":76,""550090202042"":75,""550090207041"":73,""550090214001"":71,""550090202031"":68,""550099400014"":67,""550090205031"":66,""550090212003"":66,""550090205042"":64,""550099400015"":63,""550090101004"":63,""550090207031"":61,""550090213022"":60,""550090207043"":59,""550090206001"":57,""550090202043"":57,""550090213023"":57,""550090210002"":57,""550090207044"":57,""550090102023"":54,""550090201001"":52,""550870133001"":52,""550090102022"":50,""550090213013"":50}",265,20,0.013816925734024179
550170110006.0,{},458,77,0.049214659685863874
550279619003.0,"{""550551003001"":108,""550551001004"":85,""550279617002"":79,""550279616003"":71,""550551017021"":68,""550279619002"":66,""550551017022"":64,""550279619001"":63,""550551004001"":53}",1040,410,0.08767881864328562
550499506003.0,"{""550439610001"":88,""550439609003"":80,""550499506004"":80,""550499506001"":60,""550499504002"":60,""550499506002"":59}",293,45,0.0967741935483871
550710052004.0,{},399,17,0.03262233375156838
550759611003.0,"{""550759611002"":63,""550759612003"":57,""550759611001"":57}",1014,324,0.06281156530408774
550790137001.0,"{""550790136001"":72,""550790135001"":58}",300,247,0.12595419847328243
551211005001.0,"{""551211005002"":50}",326,73,0.013966480446927375
551332024004.0,"{""551332021012"":168,""551332023013"":94,""551332021023"":93,""551332038031"":89,""551332021031"":80,""551332013004"":66,""551332038045"":66,""551332016003"":62,""551332024003"":61,""551332024001"":60,""551332023012"":59,""551332038024"":59,""551332020011"":55,""551332038023"":54,""551332017013"":53,""551332017042"":51,""551332021024"":50,""551332021032"":50,""551332039011"":50}",524,187,0.014795474325500437
551390030001.0,"{""551390036002"":81,""550150203081"":64,""551390030002"":61,""550150207001"":60,""551390024005"":51,""551390023002"":50}",334,154,0.03272727272727273
