origin,destination
5.5079E+11,5.5079E+11
5.5025E+11,5.5025E+11
5.5079E+11,5.5079E+11
5.5079E+11,5.5079E+11
5.5101E+11,5.5101E+11
5.5079E+11,5.5079E+11
5.5139E+11,5.5139E+11
5.5101E+11,5.5101E+11
5.5101E+11,5.5101E+11
5.5139E+11,5.5139E+11
5.5009E+11,5.5009E+11
5.5087E+11,5.5087E+11
5.5059E+11,5.5059E+11
5.5105E+11,5.5105E+11
5.5031E+11,5.5031E+11
5.5031E+11,5.5031E+11
5.50791E+11,5.50791E+11
5.5063E+11,5.5063E+11
5.5059E+11,5.5059E+11
5.50791E+11,5.50791E+11
5.50791E+11,5.50791E+11
5.5009E+11,5.5009E+11
5.50791E+11,5.50791E+11
5.50791E+11,5.50791E+11
5.5079E+11,5.5079E+11
5.5087E+11,5.5087E+11
5.5101E+11,5.5101E+11
5.5009E+11,5.5009E+11
5.5009E+11,5.5009E+11
5.50791E+11,5.50791E+11
5.51332E+11,5.51332E+11
5.51332E+11,5.51332E+11
5.5105E+11,5.5105E+11
5.5105E+11,5.5105E+11
5.51332E+11,5.51332E+11
5.51332E+11,5.51332E+11
5.50897E+11,5.50897E+11
5.50896E+11,5.50896E+11
5.50896E+11,5.50896E+11
5.5117E+11,5.5117E+11
5.5117E+11,5.5117E+11
5.5105E+11,5.5105E+11
5.5117E+11,5.5117E+11
5.5117E+11,5.5117E+11
5.5059E+11,5.5059E+11
5.5046E+11,5.5046E+11
5.5046E+11,5.5046E+11
5.5046E+11,5.5046E+11
5.5073E+11,5.5073E+11
5.5073E+11,5.5073E+11
5.5073E+11,5.5073E+11
5.5073E+11,5.5073E+11
5.5063E+11,5.5063E+11
5.51332E+11,5.51332E+11
5.51332E+11,5.51332E+11
5.5059E+11,5.5059E+11
5.5028E+11,5.5028E+11
5.5009E+11,5.5009E+11
5.5028E+11,5.5028E+11
5.5028E+11,5.5028E+11
5.5035E+11,5.5035E+11
5.5035E+11,5.5035E+11
5.5009E+11,5.5009E+11
5.5117E+11,5.5117E+11
5.51332E+11,5.51332E+11
5.50039E+11,5.50039E+11
5.5031E+11,5.5031E+11
5.5117E+11,5.5117E+11
5.5034E+11,5.5034E+11
5.5087E+11,5.5087E+11
5.5031E+11,5.5031E+11
5.5025E+11,5.5025E+11
5.5105E+11,5.5105E+11
5.50512E+11,5.50512E+11
5.5009E+11,5.5009E+11
5.5025E+11,5.5025E+11
5.51091E+11,5.51091E+11
5.5025E+11,5.5025E+11
5.5031E+11,5.5031E+11
5.5079E+11,5.5079E+11
5.5139E+11,5.5139E+11
5.505E+11,5.505E+11
5.5139E+11,5.5139E+11
5.5062E+11,5.5062E+11
5.5022E+11,5.5022E+11
5.5025E+11,5.5025E+11
5.505E+11,5.505E+11
5.5025E+11,5.5025E+11
5.505E+11,5.505E+11
5.505E+11,5.505E+11
5.505E+11,5.505E+11
5.505E+11,5.505E+11
5.50792E+11,5.50792E+11
5.50792E+11,5.50792E+11
5.50791E+11,5.50791E+11
5.5022E+11,5.5022E+11
5.5022E+11,5.5022E+11
5.5139E+11,5.5139E+11
5.5139E+11,5.5139E+11
5.5139E+11,5.5139E+11
5.5139E+11,5.5139E+11
5.5139E+11,5.5139E+11
5.5139E+11,5.5139E+11
5.51332E+11,5.51332E+11
5.5139E+11,5.5139E+11
5.5139E+11,5.5139E+11
5.5127E+11,5.5127E+11
5.5127E+11,5.5127E+11
