census_block_group,distance_from_home,state,county
550730006021,6993,WI,Marathon County
551410101002,19939,WI,Wood County
550730007001,7841,WI,Marathon County
550791866002,31345,WI,Milwaukee County
550790179001,8596,WI,Milwaukee County
550019505011,91641,WI,Adams County
550790179003,8012,WI,Milwaukee County
550019502021,118387,WI,Adams County
550291007004,61866,WI,Door County
550291003001,245435,WI,Door County
550291007003,90190,WI,Door County
550291006003,58222,WI,Door County
551151008004,93304,WI,Shawano County
550710007001,11642,WI,Manitowoc County
551151001001,58610,WI,Shawano County
550790018001,4450,WI,Milwaukee County
550119605002,52158,WI,Buffalo County
550630103002,70137,WI,La Crosse County
550790004002,24028,WI,Milwaukee County
550710106003,23215,WI,Manitowoc County
550710104001,23455,WI,Manitowoc County
550790157003,4842,WI,Milwaukee County
550050010011,100730,WI,Barron County
550730011021,108647,WI,Marathon County
550730022002,137072,WI,Marathon County
550790005022,7581,WI,Milwaukee County
550959607002,55153,WI,Polk County
550790007003,9896,WI,Milwaukee County
550959606002,54594,WI,Polk County
551351011005,40607,WI,Waupaca County
551351001001,60479,WI,Waupaca County
550199508001,94109,WI,Clark County
551332015063,18201,WI,Waukesha County
550371901002,131138,WI,Florence County
550790002023,26149,WI,Milwaukee County
550790003032,7209,WI,Milwaukee County
550896201002,61344,WI,Ozaukee County
550896201003,16130,WI,Ozaukee County
550790011003,6508,WI,Milwaukee County
550896302011,13757,WI,Ozaukee County
550896302012,16598,WI,Ozaukee County
550896302014,43807,WI,Ozaukee County
550896603033,10888,WI,Ozaukee County
550896101013,37964,WI,Ozaukee County
551351010001,65307,WI,Waupaca County
551351010003,25203,WI,Waupaca County
550896401003,14144,WI,Ozaukee County
550896402001,65126,WI,Ozaukee County
550896501011,15329,WI,Ozaukee County
550896501012,13538,WI,Ozaukee County
550896501013,14417,WI,Ozaukee County
550790701003,10468,WI,Milwaukee County
550590001005,10424,WI,Kenosha County
550791703002,6529,WI,Milwaukee County
550791701001,11284,WI,Milwaukee County
550791801002,9451,WI,Milwaukee County
550790170003,3645,WI,Milwaukee County
550710107003,24125,WI,Manitowoc County
550250133021,30613,WI,Dane County
550250122021,17781,WI,Dane County
550250004082,16550,WI,Dane County
550710052002,9728,WI,Manitowoc County
550710053002,20415,WI,Manitowoc County
550710104002,22789,WI,Manitowoc County
550710006003,17629,WI,Manitowoc County
550710105001,72763,WI,Manitowoc County
550896402005,15045,WI,Ozaukee County
550710007003,4689,WI,Manitowoc County
550710007005,11389,WI,Manitowoc County
550710008001,11829,WI,Manitowoc County
551259400001,158767,WI,Vilas County
551050013021,19338,WI,Rock County
550150207001,9397,WI,Calumet County
550150201001,31447,WI,Calumet County
550859706022,155333,WI,Oneida County
550150208001,10953,WI,Calumet County
550150203033,5816,WI,Calumet County
551110007001,42141,WI,Sauk County
550390422001,24230,WI,Fond du Lac County
550390413005,9094,WI,Fond du Lac County
550390418001,82340,WI,Fond du Lac County
550390407001,11772,WI,Fond du Lac County
551314201053,10275,WI,Washington County
551050015002,16691,WI,Rock County
551050017001,16387,WI,Rock County
551270017011,43182,WI,Walworth County
550150203082,10006,WI,Calumet County
551270003026,29071,WI,Walworth County
551131005003,189848,WI,Sawyer County
551270016024,45713,WI,Walworth County
550219704001,104972,WI,Columbia County
550390411003,61418,WI,Fond du Lac County
550350017001,21324,WI,Eau Claire County
550390408002,5195,WI,Fond du Lac County
550390420002,44028,WI,Fond du Lac County
551050013041,83135,WI,Rock County
550390421001,35672,WI,Fond du Lac County
551270007024,22547,WI,Walworth County
550790001012,11819,WI,Milwaukee County
551332044001,14559,WI,Waukesha County
551110008002,59323,WI,Sauk County
551110010022,97030,WI,Sauk County
550150208003,8110,WI,Calumet County
550859706021,89232,WI,Oneida County
550859710011,32121,WI,Oneida County
550090207042,22155,WI,Brown County
550790803002,11999,WI,Milwaukee County
550150203062,13470,WI,Calumet County
550390408004,4905,WI,Fond du Lac County
550219705001,50475,WI,Columbia County
550219701002,72065,WI,Columbia County
550019501002,92521,WI,Adams County
550789401011,59668,WI,Menominee County
551270015025,45542,WI,Walworth County
550859706012,36716,WI,Oneida County
551270003011,53058,WI,Walworth County
551270007013,41444,WI,Walworth County
551314501051,50981,WI,Washington County
551314401041,22656,WI,Washington County
551314001042,14377,WI,Washington County
551314001032,16828,WI,Washington County
550590004003,4360,WI,Kenosha County
550590029052,20719,WI,Kenosha County
550390417001,26716,WI,Fond du Lac County
550590029031,33658,WI,Kenosha County
550979603003,7715,WI,Portage County
550979604001,17225,WI,Portage County
551314702033,14306,WI,Washington County
550710007002,14679,WI,Manitowoc County
551151007001,50411,WI,Shawano County
551410105003,31396,WI,Wood County
550250016041,59236,WI,Dane County
551332033041,17760,WI,Waukesha County
551332039013,20620,WI,Waukesha County
550250109041,58426,WI,Dane County
550250137002,62234,WI,Dane County
551332019001,12324,WI,Waukesha County
551332001023,12558,WI,Waukesha County
550339707001,29209,WI,Dunn County
551332002012,10694,WI,Waukesha County
551050022002,15901,WI,Rock County
550630104012,50165,WI,La Crosse County
550759612001,79118,WI,Marinette County
550439606001,39268,WI,Grant County
550439603001,88180,WI,Grant County
550439611001,110693,WI,Grant County
550219707003,173982,WI,Columbia County
550219712002,78609,WI,Columbia County
550219708004,35558,WI,Columbia County
550219710004,51454,WI,Columbia County
550219702001,72535,WI,Columbia County
550219704005,63759,WI,Columbia County
550219703002,124883,WI,Columbia County
550079602002,146132,WI,Bayfield County
550870108002,7238,WI,Outagamie County
551050026021,113300,WI,Rock County
550390409001,6566,WI,Fond du Lac County
550390413001,73385,WI,Fond du Lac County
550390414004,82201,WI,Fond du Lac County
550390419002,19500,WI,Fond du Lac County
551010016013,13586,WI,Racine County
551010020012,16849,WI,Racine County
550019507002,85535,WI,Adams County
550390403001,53729,WI,Fond du Lac County
550390403003,19456,WI,Fond du Lac County
551050004002,6093,WI,Rock County
551050011004,8447,WI,Rock County
551050027001,42605,WI,Rock County
551050017003,13743,WI,Rock County
550390408001,3981,WI,Fond du Lac County
551010026001,29613,WI,Racine County
550791865002,30897,WI,Milwaukee County
550790301001,12933,WI,Milwaukee County
550859714002,60188,WI,Oneida County
550859708001,159228,WI,Oneida County
550050004004,59663,WI,Barron County
