SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,Comment_Vax,PctMetMinRequirements_Vax
Downtown Montessori,Downtown Montessori,Elementary School,K3,8,Non District Charter Schools,Regular,Charter,2507 S Graham St  Milwaukee WI  53207-1687,Milwaukee,1,30909,8101,1056,81011056,5500039,2153,42.998354,-87.903867,Report received,80
Forest Lane Community Sch,Montello,Elementary School,K4,5,Public school,Regular,No,222 Forest Ln  Montello WI  53949-9390,Marquette,5,9663,3689,10,36890010,5509870,1302,43.796797,-89.321955,Report received,80
Hampton Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,5000 N 53rd St  Milwaukee WI  53218-4333,Milwaukee,1,5233,3619,205,36190205,5509600,1181,43.109901,-87.977766,Report received,80
iLEAD Charter Sch,Mauston,High School,7,12,Public school,Regular,Charter,800 Grayside Ave  Mauston WI  53948,Juneau,5,678,3360,410,33600410,5508850,2863,43.787885,-90.088612,Report received,80
King Jr Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3275 N 3rd St  Milwaukee WI  53212-2064,Milwaukee,1,4561,3619,199,36190199,5509600,1178,43.078191,-87.914204,Report received,80
LaFollette Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,3239 N 9th St  Milwaukee WI  53206-3251,Milwaukee,1,4564,3619,238,36190238,5509600,1202,43.076972,-87.923018,Report received,80
North Crawford Elementary ,North Crawford,Elementary School,K4,8,Public school,Regular,No,47050 County Road X  Soldiers Grove WI  54655-8551,Crawford,3,14630,2016,110,20160110,5504980,2244,43.369813,-90.808363,Report received,80
NOVA Tech,Milwaukee,High School,9,12,Public school,Vocational,Charter,225 W Capitol Dr  Milwaukee WI  53212,Milwaukee,1,943,3619,474,36190474,5509600,3010,43.088477,-87.912362,Report received,80
Pratt Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,5131 N Green Bay Ave  Milwaukee WI  53209-5753,Milwaukee,1,4715,3619,325,36190325,5509600,1243,43.110555,-87.933315,Report received,80
Riley Elementary ,Milwaukee,Elementary School,K3,5,Public school,Regular,No,2424 S 4th St  Milwaukee WI  53207-1411,Milwaukee,1,4591,3619,313,36190313,5509600,1236,43.001221,-87.914776,Report received,80
South Division High School,Milwaukee,High School,9,12,Public school,Regular,No,1515 W Lapham Blvd  Milwaukee WI  53204-3236,Milwaukee,1,4485,3619,32,36190032,5509600,1247,43.013404,-87.929937,Report received,80
