Date,Confirmed Cases in China
2019-12-31,27
2020-01-01,27
2020-01-02,27
2020-01-03,41
2020-01-04,41
2020-01-05,41
2020-01-06,41
2020-01-07,41
2020-01-08,41
2020-01-09,41
2020-01-10,41
2020-01-11,41
2020-01-12,41
2020-01-13,41
2020-01-14,41
2020-01-15,41
2020-01-16,45
2020-01-17,62
2020-01-18,121
2020-01-19,198
2020-01-20,291
2020-01-21,440
2020-01-22,549
2020-01-23,644
