FID,FID_1,OBJECTID,Cession_Da,Nation_Cor,LinkRoyce,LinkKapple,Year_value,Square_Mil
436,436,437,-3320265600000.000000000000000,"Klamath, Modok, Yahooskin band of Snake Indians",https://archive.org/stream/annualreportofbu218smit#page/834/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/kla0865.htm,1864,3279.840941649999900
437,437,438,-3319920000000.000000000000000,"Chippewa of Saginaw, Swan Creek, and Black River",https://archive.org/stream/annualreportofbu218smit#page/834/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/chi0868.htm,1864,342.797045369999980
438,438,439,-3319660800000.000000000000000,Duwamish,https://archive.org/stream/annualreportofbu218smit#page/834/mode/2up, ,1864,25.191106127400001
439,439,440,-3308169600000.000000000000000,Colorado River,https://archive.org/stream/annualreportofbu218smit#page/834/mode/2up, ,1865,169.554538537000010
440,440,441,-3307910400000.000000000000000,Omaha,https://archive.org/stream/annualreportofbu218smit#page/834/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/oma0872.htm,1865,312.544060922000030
441,441,442,-3307737600000.000000000000000,Winnebago,https://archive.org/stream/annualreportofbu218smit#page/834/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/win0874.htm,1865,1200.400660990000000
442,442,443,-3302467200000.000000000000000,Winnebago,https://archive.org/stream/annualreportofbu218smit#page/836/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/win0874.htm,1865,312.544060922000030
443,443,444,-3302467200000.000000000000000,Winnebago,https://archive.org/stream/annualreportofbu218smit#page/836/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/win0874.htm,1865,46.115024945099997
444,444,445,-3307564800000.000000000000000,Ponca,https://archive.org/stream/annualreportofbu218smit#page/836/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/pon0875.htm,1865,41.856984918300000
445,445,446,-3307564800000.000000000000000,Ponca,https://archive.org/stream/annualreportofbu218smit#page/836/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/pon0875.htm,1865,90.683358446599996
446,446,447,-3297024000000.000000000000000,Washoe,https://archive.org/stream/annualreportofbu218smit#page/836/mode/2up, ,1865,8519.020547840000300
447,447,448,-3294172800000.000000000000000,Snake (Wollpahpe),https://archive.org/stream/annualreportofbu218smit#page/836/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sna0876.htm,1865,1360.495076080000000
448,448,449,-3290025600000.000000000000000,Osage,https://archive.org/stream/annualreportofbu218smit#page/836/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/osa0878.htm,1865,2365.414122029999800
449,449,450,-3290025600000.000000000000000,Osage,https://archive.org/stream/annualreportofbu218smit#page/836/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/osa0878.htm,1865,7901.899849540000100
450,450,451,-3288729600000.000000000000000,Cheyenne and Arapahoe,https://archive.org/stream/annualreportofbu218smit#page/838/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/che0887.htm,1865,9592.149145589999500
451,451,452,-3288384000000.000000000000000,Comanche and Kiowa,https://archive.org/stream/annualreportofbu218smit#page/838/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/com0892.htm,1865,184876.474403000000000
452,452,453,-3282854400000.000000000000000,Indians on coast of Oregon,https://archive.org/stream/annualreportofbu218smit#page/838/mode/2up, ,1865,658.680349892999970
453,453,454,-3275078400000.000000000000000,Seminole,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sem0910.htm,1866,4847.791972449999800
454,454,455,-3275078400000.000000000000000,Seminole,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sem0910.htm,1866,636.549343903000020
455,455,456,-3273609600000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/chi0916.htm,1866,7023.217767940000200
456,456,457,-3273609600000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/chi0916.htm,1866,375.076540254000010
457,457,458,-3273609600000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/chi0916.htm,1866,79.388958082000002
458,458,459,-3271795200000.000000000000000,Choctaw and Chickasaw,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/cho0918.htm,1866,18116.630200399999000
459,459,460,-3267734400000.000000000000000,Muscogee,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/cre0931.htm,1866,8279.013914929999400
460,460,461,-3267734400000.000000000000000,Muscogee,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/cre0931.htm,1866,7328.169259379999900
461,461,462,-3266006400000.000000000000000,Delaware,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/del0937.htm,1866,270.191417955000020
462,462,463,-3264710400000.000000000000000,Cherokee,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/che0942.htm,1866,20085.930213600001000
463,463,464,-3264710400000.000000000000000,Cherokee,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/che0942.htm,1866,1943.403935430000000
464,464,465,-3264710400000.000000000000000,Cherokee,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/che0942.htm,1866,1405.537256390000000
465,465,466,-3264624000000.000000000000000,Cherokee,https://archive.org/stream/annualreportofbu218smit#page/840/mode/2up, ,1866,10870.389439700000000
466,466,467,-3259094400000.000000000000000,Puyallup,https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up, ,1866,5.899804762900000
467,467,468,-3246220800000.000000000000000,Sac and Fox,https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sau0951.htm,1867,211.041264224999990
468,468,469,-3246220800000.000000000000000,Sac and Fox,https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sau0951.htm,1867,1117.448891009999900
469,469,470,-3246134400000.000000000000000,"Sisseton Sioux, Wahpeton Sioux",https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sio0956.htm,1867,3310.443803730000100
470,470,471,-3246134400000.000000000000000,"Sisseton Sioux, Wahpeton Sioux",https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sio0956.htm,1867,825.929599331999950
471,471,472,-3245788800000.000000000000000,"Seneca, Shawnee, Quapaw, Peoria, Kaskaskia, Piankishaw, Wea, Ottawa, Wyandotte",https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sen0960.htm,1867,39.298783299000000
472,472,473,-3245788800000.000000000000000,"Seneca, Shawnee, Quapaw, Peoria, Kaskaskia, Piankishaw, Wea, Ottawa, Wyandotte",https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sen0960.htm,1867,128.776728838000000
473,473,474,-3245788800000.000000000000000,"Seneca, Shawnee, Quapaw, Peoria, Kaskaskia, Piankishaw, Wea, Ottawa, Wyandotte",https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sen0960.htm,1867,79.976435116199994
474,474,475,-3245788800000.000000000000000,"Seneca, Shawnee, Quapaw, Peoria, Kaskaskia, Piankishaw, Wea, Ottawa, Wyandotte",https://archive.org/stream/annualreportofbu218smit#page/842/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sen0960.htm,1867,29.342617935800000
475,475,476,-3245788800000.000000000000000,"Seneca, Shawnee, Quapaw, Peoria, Kaskaskia, Piankishaw, Wea, Ottawa, Wyandotte",https://archive.org/stream/annualreportofbu218smit#page/844/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sen0960.htm,1867,42.781212528899999
476,476,477,-3245788800000.000000000000000,"Seneca, Shawnee, Quapaw, Peoria, Kaskaskia, Piankishaw, Wea, Ottawa, Wyandotte",https://archive.org/stream/annualreportofbu218smit#page/844/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sen0960.htm,1867,30.264275666600000
477,477,478,-3245788800000.000000000000000,"Seneca, Shawnee, Quapaw, Peoria, Kaskaskia, Piankishaw, Wea, Ottawa, Wyandotte",https://archive.org/stream/annualreportofbu218smit#page/844/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sen0960.htm,1867,41.328686900599998
478,478,479,-3245788800000.000000000000000,"Seneca, Shawnee, Quapaw, Peoria, Kaskaskia, Piankishaw, Wea, Ottawa, Wyandotte",https://archive.org/stream/annualreportofbu218smit#page/844/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sen0960.htm,1867,177.743372671999990
479,479,480,-3245443200000.000000000000000,Potawatomi,https://archive.org/stream/annualreportofbu218smit#page/844/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/pot0970.htm,1867,1310.733487329999900
480,480,481,-3243715200000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/844/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/chi0974.htm,1867,4981.545305220000000
481,481,482,-3243715200000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/844/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/chi0974.htm,1867,1839.508624310000000
482,482,483,-3243715200000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/846/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/chi0974.htm,1867,2596.854296450000200
483,483,484,-3225052800000.000000000000000,Kiowa and Comanche,https://archive.org/stream/annualreportofbu218smit#page/846/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/kio0977.htm,1867,6893.474274930000300
484,484,485,-3225052800000.000000000000000,Kiowa and Comanche,https://archive.org/stream/annualreportofbu218smit#page/846/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/kio0977.htm,1867,93449.024919500007000
485,485,486,-3225052800000.000000000000000,Comanche and other Texas Indians,https://archive.org/stream/annualreportofbu218smit#page/846/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/kio0982.htm,1867,114.641044776000000
486,486,487,-3225052800000.000000000000000,Comanche and other Texas Indians,https://archive.org/stream/annualreportofbu218smit#page/846/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/kio0982.htm,1867,101.828702978000000
487,487,488,-3222806400000.000000000000000,Santee Sioux,https://archive.org/stream/annualreportofbu218smit#page/846/mode/2up, ,1867,28.665063493000002
488,488,489,-3213561600000.000000000000000,Ute,https://archive.org/stream/annualreportofbu218smit#page/848/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/ute0990.htm,1868,48732.042253699998000
489,489,490,-3208550400000.000000000000000,Sioux,https://archive.org/stream/annualreportofbu218smit#page/848/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sio0998.htm,1868,14355.715929600001000
490,490,491,-3207859200000.000000000000000,Crow,https://archive.org/stream/annualreportofbu218smit#page/848/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/cro1008.htm,1868,94213.294108300004000
491,491,492,-3205699200000.000000000000000,Navajo,https://archive.org/stream/annualreportofbu218smit#page/848/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/nav1015.htm,1868,8097.560223149999700
492,492,493,-3205699200000.000000000000000,Navajo,https://archive.org/stream/annualreportofbu218smit#page/848/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/nav1015.htm,1868,52416.707654099999000
493,493,494,-3202934400000.000000000000000,Shoshone and Bannock,https://archive.org/stream/annualreportofbu218smit#page/850/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sho1020.htm,1868,125877.248372999990000
494,494,495,-3200860800000.000000000000000,Smith River,https://archive.org/stream/annualreportofbu218smit#page/850/mode/2up, ,1868,101.543099975000000
495,495,496,-3200860800000.000000000000000,Mendocino,https://archive.org/stream/annualreportofbu218smit#page/850/mode/2up, ,1868,49.461684820800002
496,496,497,-3170534400000.000000000000000,Santee Sioux,https://archive.org/stream/annualreportofbu218smit#page/850/mode/2up, ,1869,8142.930442060000100
497,497,498,-3169065600000.000000000000000,Bannock,https://archive.org/stream/annualreportofbu218smit#page/850/mode/2up, ,1869,3678.075655189999900
498,498,499,-3168115200000.000000000000000,Cheyenne and Arapahoe,https://archive.org/stream/annualreportofbu218smit#page/852/mode/2up, ,1869,10241.874918600000000
499,499,500,-3166300800000.000000000000000,Santee Sioux,https://archive.org/stream/annualreportofbu218smit#page/852/mode/2up, ,1869,274.049913817999990
500,500,501,-3153081600000.000000000000000,San Pasqual and Pala Valley,https://archive.org/stream/annualreportofbu218smit#page/852/mode/2up, ,1870,204.356515046000000
501,501,502,-3153081600000.000000000000000,San Pasqual and Pala Valley,https://archive.org/stream/annualreportofbu218smit#page/852/mode/2up, ,1870,111.373485288000000
502,502,503,-3146947200000.000000000000000,"Arikara, Gros Ventre, and Mandan",https://archive.org/stream/annualreportofbu218smit#page/852/mode/2up, ,1870,14678.549970800001000
503,503,504,-3138825600000.000000000000000,Great and Little Osage,https://archive.org/stream/annualreportofbu218smit#page/854/mode/2up, ,1870,13148.855557900000000
504,504,505,-3097180800000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/854/mode/2up, ,1871,981.575473625999960
505,505,506,-3124137600000.000000000000000,"Methow, Okanagan",https://archive.org/stream/annualreportofbu218smit#page/856/mode/2up, ,1871,17747.014798799999000
506,506,507,-3084048000000.000000000000000,"Methow, Okanagan",https://archive.org/stream/annualreportofbu218smit#page/856/mode/2up, ,1872,7955.677191300000200
507,507,508,-3079123200000.000000000000000,Great and Little Osage,https://archive.org/stream/annualreportofbu218smit#page/856/mode/2up, ,1872,3634.310737960000100
508,508,509,-3079123200000.000000000000000,Kaw,https://archive.org/stream/annualreportofbu218smit#page/856/mode/2up, ,1872,248.619824778000010
509,509,510,-3076790400000.000000000000000,"Methow, Okanagan",https://archive.org/stream/annualreportofbu218smit#page/858/mode/2up, ,1872,10428.495436100000000
510,510,511,-3070569600000.000000000000000,"Paiute, Snake, and Shoshone",https://archive.org/stream/annualreportofbu218smit#page/858/mode/2up, ,1872,35330.455070399999000
511,511,512,-3069878400000.000000000000000,"Sisseton Sioux, Wahpeton Sioux",https://archive.org/stream/annualreportofbu218smit#page/858/mode/2up,http://digital.library.okstate.edu/Kappler/Vol2/treaties/sio1057.htm,1872,19693.961790500001000
512,512,513,-3069360000000.000000000000000,Shoshone,https://archive.org/stream/annualreportofbu218smit#page/858/mode/2up, ,1872,2408.216537400000100
513,513,514,-3061670400000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/860/mode/2up, ,1872,891.629761132000000
514,514,515,-3055708800000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/862/mode/2up, ,1873,71.907728502400005
515,515,516,-3046636800000.000000000000000,Nez Perce,https://archive.org/stream/annualreportofbu218smit#page/864/mode/2up, ,1873,4146.141324930000300
516,516,517,-3042316800000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/864/mode/2up, ,1873,2473.735207480000100
517,517,518,-3037219200000.000000000000000,"Tule River, King's River, Owen's River",https://archive.org/stream/annualreportofbu218smit#page/864/mode/2up, ,1873,136.127549729000010
518,518,519,-3035664000000.000000000000000,Makah,https://archive.org/stream/annualreportofbu218smit#page/866/mode/2up, ,1873,91.574495107299995
519,519,520,-3034972800000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/866/mode/2up, ,1873,18.408614298200000
520,520,521,-3034454400000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/866/mode/2up, ,1873,177.653129775999990
521,521,522,-3034454400000.000000000000000,"Quinault, Quileute",https://archive.org/stream/annualreportofbu218smit#page/866/mode/2up, ,1873,671.138738035999950
522,522,523,-3034108800000.000000000000000,Coeur d'Alene,https://archive.org/stream/annualreportofbu218smit#page/866/mode/2up, ,1873,1809.615678250000000
523,523,524,-3034108800000.000000000000000,Coeur d'Alene,https://archive.org/stream/annualreportofbu218smit#page/868/mode/2up, ,1873,21143.997870600000000
524,524,525,-3032899200000.000000000000000,Colorado River Reservation,https://archive.org/stream/annualreportofbu218smit#page/868/mode/2up, ,1873,79.378042952200005
525,525,526,-3032899200000.000000000000000,Duwamish,https://archive.org/stream/annualreportofbu218smit#page/868/mode/2up, ,1873,13.957087441700001
526,526,527,-3029529600000.000000000000000,Santee Sioux,https://archive.org/stream/annualreportofbu218smit#page/868/mode/2up, ,1873,333.095681806000020
527,527,528,-3026851200000.000000000000000,Crow,https://archive.org/stream/annualreportofbu218smit#page/870/mode/2up, ,1874,10656.639527699999000
528,528,529,-3025814400000.000000000000000,Paiute,https://archive.org/stream/annualreportofbu218smit#page/870/mode/2up, ,1874,52090.500457900001000
529,529,530,-3024691200000.000000000000000,Skokomish,https://archive.org/stream/annualreportofbu218smit#page/870/mode/2up, ,1874,19.349525905099998
530,530,531,-3022790400000.000000000000000,Paiute,https://archive.org/stream/annualreportofbu218smit#page/872/mode/2up, ,1874,798.248563149000010
531,531,532,-3022444800000.000000000000000,Paiute,https://archive.org/stream/annualreportofbu218smit#page/872/mode/2up, ,1874,1251.754884580000000
532,532,533,-3022444800000.000000000000000,Paiute,https://archive.org/stream/annualreportofbu218smit#page/872/mode/2up, ,1874,58767.115970699997000
533,533,534,-3022272000000.000000000000000,Jicarilla Apache,https://archive.org/stream/annualreportofbu218smit#page/872/mode/2up, ,1874,1606.516462650000000
534,534,535,-3020976000000.000000000000000,Muckleshoot Reservation,https://archive.org/stream/annualreportofbu218smit#page/872/mode/2up, ,1874,9.510558370400000
535,535,536,-3021321600000.000000000000000,"Gros Ventre, Piegan, Blood, Blackfoot, River Crow",https://archive.org/stream/annualreportofbu218smit#page/874/mode/2up, ,1874,70973.913686400003000
536,536,537,-3019248000000.000000000000000,Ute,https://archive.org/stream/annualreportofbu218smit#page/874/mode/2up, ,1874,9285.981072489999900
537,537,538,-3016915200000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/874/mode/2up, ,1874,16.466908686000000
538,538,539,-3016915200000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/874/mode/2up, ,1874,276.900220144999990
539,539,540,-3014582400000.000000000000000,"L'Anse Chippewa, Vieux Desert Chippewa",https://archive.org/stream/annualreportofbu218smit#page/874/mode/2up, ,1874,66.530075691999997
540,540,541,-3014582400000.000000000000000,Omaha,https://archive.org/stream/annualreportofbu218smit#page/876/mode/2up, ,1874,46.115024945099997
541,541,542,-3014496000000.000000000000000,Eastern Shawnee,https://archive.org/stream/annualreportofbu218smit#page/876/mode/2up, ,1874,16.197501402899999
542,542,543,-3013804800000.000000000000000,Tohono O’odham,https://archive.org/stream/annualreportofbu218smit#page/876/mode/2up, ,1874,156.540836931000000
543,543,544,-3012076800000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/876/mode/2up, ,1874,2348.244595990000100
544,544,545,-3009571200000.000000000000000,"Gros Ventre, Piegan, Blood, Blackfoot, and River Crow",https://archive.org/stream/annualreportofbu218smit#page/876/mode/2up, ,1874,14100.898720300000000
545,545,546,-2994278400000.000000000000000,"Shoshone, Bannock, and Sheepeater",https://archive.org/stream/annualreportofbu218smit#page/878/mode/2up, ,1875,380.715152649000000
546,546,547,-2992636800000.000000000000000,Paiute,https://archive.org/stream/annualreportofbu218smit#page/878/mode/2up, ,1875,6622.424392840000100
547,547,548,-2992636800000.000000000000000,Paiute,https://archive.org/stream/annualreportofbu218smit#page/878/mode/2up, ,1875,7.377091901000000
548,548,549,-2992636800000.000000000000000,Alsea and Siletz,https://archive.org/stream/annualreportofbu218smit#page/878/mode/2up, ,1875,1874.936413910000100
549,549,550,-2992636800000.000000000000000,Alsea and Siletz reservation,https://archive.org/stream/annualreportofbu218smit#page/878/mode/2up, ,1875,714.412818089999970
550,550,551,-2992636800000.000000000000000,Eastern Band of Cherokee,https://archive.org/stream/annualreportofbu218smit#page/878/mode/2up, ,1875,205.740289528000010
551,551,552,-2991513600000.000000000000000,Sioux,https://archive.org/stream/annualreportofbu218smit#page/880/mode/2up, ,1875,2278.860016499999800
552,552,553,-2988230400000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/880/mode/2up, ,1875,1285.089146940000100
553,553,554,-2986070400000.000000000000000,Round Valley,https://archive.org/stream/annualreportofbu218smit#page/880/mode/2up, ,1875,309.925700746000020
554,554,555,-2980368000000.000000000000000,Sioux,https://archive.org/stream/annualreportofbu218smit#page/882/mode/2up, ,1875,19045.075673799998000
555,555,556,-2960582400000.000000000000000,Crow,https://archive.org/stream/annualreportofbu218smit#page/882/mode/2up, ,1876,6726.864789930000400
556,556,557,-2969827200000.000000000000000,Ute,https://archive.org/stream/annualreportofbu218smit#page/882/mode/2up, ,1875,1408.573203940000000
557,557,558,-2967321600000.000000000000000,Southern Apache,https://archive.org/stream/annualreportofbu218smit#page/882/mode/2up, ,1875,830.817129542999960
558,558,559,-2967321600000.000000000000000,Southern Apache,https://archive.org/stream/annualreportofbu218smit#page/884/mode/2up, ,1875,624.969765438999960
559,559,560,-2964038400000.000000000000000,Paiute and Shoshone,https://archive.org/stream/annualreportofbu218smit#page/884/mode/2up, ,1876,1425.884836980000000
560,560,561,-2960582400000.000000000000000,Pawnee, , ,1876,786.984350701000040
561,561,562,-2957731200000.000000000000000,Pawnee,https://archive.org/stream/annualreportofbu218smit#page/884/mode/2up, ,1876,704.188474644000050
562,562,563,-2956262400000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/884/mode/2up, ,1876,664.249306298999950
563,563,564,-2954707200000.000000000000000,Colorado River,https://archive.org/stream/annualreportofbu218smit#page/886/mode/2up, ,1876,601.388568050999990
564,564,565,-2948486400000.000000000000000,Round Valley,https://archive.org/stream/annualreportofbu218smit#page/886/mode/2up, ,1876,52.868742310800002
565,565,566,-2946758400000.000000000000000,Otoe-Missouria,https://archive.org/stream/annualreportofbu218smit#page/886/mode/2up, ,1876,309.110035655999980
566,566,567,-2945376000000.000000000000000,Pima and Maricopa,https://archive.org/stream/annualreportofbu218smit#page/888/mode/2up, ,1876,28.585655272800000
567,567,568,-2943129600000.000000000000000,"Sioux, Northern Cheyenne, and Arapahoe",https://archive.org/stream/annualreportofbu218smit#page/888/mode/2up, ,1876,58927.903759499997000
568,568,569,-2943129600000.000000000000000,"Sioux, Northern Cheyenne, and Arapahoe",https://archive.org/stream/annualreportofbu218smit#page/888/mode/2up, ,1876,23727.234784600001000
569,569,570,-2943129600000.000000000000000,"Sioux, Northern Cheyenne, and Arapahoe",https://archive.org/stream/annualreportofbu218smit#page/888/mode/2up, ,1876,1241.342825200000100
570,570,571,-2940192000000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/888/mode/2up, ,1876,4941.111683109999800
571,571,572,-2932588800000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/888/mode/2up, ,1877,18.611849452800001
572,572,573,-2927059200000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/890/mode/2up, ,1877,196.318144037000000
573,573,574,-2927059200000.000000000000000,Apache,https://archive.org/stream/annualreportofbu218smit#page/890/mode/2up, ,1877,6760.858130149999900
574,574,575,-2925676800000.000000000000000,Western Shoshone,https://archive.org/stream/annualreportofbu218smit#page/890/mode/2up, ,1877,619.550462070999970
575,575,576,-2890598400000.000000000000000,Nez Perce,https://archive.org/stream/annualreportofbu218smit#page/892/mode/2up, ,1878,228.977627767000000
576,576,577,-2884723200000.000000000000000,"Tule River, King's River",https://archive.org/stream/annualreportofbu218smit#page/892/mode/2up, ,1878,151.835259364000000
577,577,578,-2877206400000.000000000000000,Navajo,https://archive.org/stream/annualreportofbu218smit#page/892/mode/2up, ,1878,2141.514645069999900
578,578,579,-2868480000000.000000000000000,Ute,https://archive.org/stream/annualreportofbu218smit#page/894/mode/2up, ,1879,1885.549411629999900
579,579,580,-2865110400000.000000000000000,Chippewa,https://archive.org/stream/annualreportofbu218smit#page/894/mode/2up, ,1879,410.323158143000000
580,580,581,-2857507200000.000000000000000,Pima and Maricopa,https://archive.org/stream/annualreportofbu218smit#page/894/mode/2up, ,1879,139.233946900000010
581,581,582,-2857507200000.000000000000000,Pima and Maricopa,https://archive.org/stream/annualreportofbu218smit#page/894/mode/2up, ,1879,163.262913660000010
582,582,583,-2856384000000.000000000000000,Sioux,https://archive.org/stream/annualreportofbu218smit#page/896/mode/2up, ,1879,221.896369596000000
583,583,584,-2852668800000.000000000000000,Sioux,https://archive.org/stream/annualreportofbu218smit#page/896/mode/2up, ,1879,18987.065911900001000
