Area_Name,State,Region,NPS_Fee_Acres,Park_Name,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,Average,Visit_Type,Number_of_Photos
MAMMOTH CAVE NP,KY,SER,52003.24,Mammoth Cave NP,503856,497225,483319,508054,494541,522628,566895,586514,587853,533206,528409,Recreation,
Mesa_Verde_National_Park,CO,IMR,52253.29,Mesa Verde NP,550377,559712,572329,488860,460237,501563,547325,583527,613788,563420,544114,Recreation,7785
Mount_Ranier_National_Park,WA,PWR,236326.85,Mount Rainier NP,1151654,1191754,1038229,1049178,1148552,1264259,1237231,1356913,1415867,1518491,1237213,Recreation,13863
NORTH CASCADES NP,WA,PWR,504654.18,North Cascades NP,26972,24659,19208,26935,21623,23865,20677,28646,30326,30085,25300,Recreation,
Olympic_National_Park,WA,PWR,913409.19,Olympic NP,3276459,2844563,2966502,2824908,3085340,3243872,3263761,3390221,3401996,3104455,3140208,Recreation,37988
Petrified_Forest_National_Park,AZ,IMR,147024.45,Petrified Forest NP,631613,664725,614054,664857,644648,836799,793225,643274,627757,644922,676587,Recreation,9203
Pinnacles_National_Park,CA,PWR,26674.6,Pinnacles NP,171112,246575,393219,224476,237677,196635,206533,215555,233334,222152,234727,Recreation,
Redwood_National_Park,CA,PWR,77715.18,Redwood NP,444426,418820,380167,352517,393364,429166,527143,536297,445000,482536,440944,Recreation,
Rocky_Mountain_National_Park,CO,IMR,264263.5,Rocky Mountain NP,2822325,2955821,3176941,3229617,2991141,3434751,4155916,4517585,4437215,4590493,3631181,Recreation,32925
SAGUARO NP,AZ,IMR,87908.7,Saguaro NP,665234,717614,610045,634286,678261,673572,753446,820426,964760,957405,747505,Recreation,6045
Sequoia_National_Park,CA,PWR,403893.31,Sequoia NP,965170,1002979,1006583,1106584,909274,1039137,1097464,1254688,1291256,1229594,1090273,Recreation,18445
Shenandoah_National_Park,VA,NER,197536.49,Shenandoah NP,1120981,1253386,1209883,1210200,1136505,1255321,1321873,1437341,1458874,1264880,1266924,Recreation,14910
THEODORE ROOSEVELT NP,ND,MWR,69550.88,Theodore Roosevelt NP,586928,623748,563407,640555,545090,559580,580033,753880,708003,749389,631061,Recreation,
VIRGIN ISLANDS NP,VI,SER,13102.24,Virgin Islands NP,415847,493477,442414,483341,438601,426930,438372,411343,304408,112287,396702,Recreation,
VOYAGEURS NP,MN,MWR,133108.69,Voyageurs NP,222429,253891,177184,214841,233390,239160,238313,241912,237250,239656,229803,Recreation,
WIND CAVE NP,SD,MWR,33970.84,Wind Cave NP,587868,577141,538394,529083,516142,547022,612198,617377,619924,656397,580155,Recreation,
WRANGELL-ST. ELIAS NP,AK,AKR,7956689.25,Wrangell-St. Elias NP,59966,73170,65225,87158,69984,74722,80366,79047,68292,79450,73738,Recreation,
Yellowstone_National_Park,ID-MT-WY,IMR,2219789.13,Yellowstone NP,3295187,3640185,3394326,3447729,3188030,3513484,4097710,4257177,4116524,4115000,3706535,Recreation,100737
Yosemite_National_Park,CA,PWR,759690.11,Yosemite NP,3737472,3901408,3951393,3853404,3691191,3882642,4150217,5028868,4336890,4009436,4054292,Recreation,113648
Zion_National_Park,UT,IMR,143788.46,Zion NP,2735402,2665972,2825505,2973607,2807387,3189696,3648846,4295127,4504812,4320033,3396639,Recreation,43449
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,total,726349
