Site Name,County,Latitude,Longitutde,Sum,status,protection,,,,,,,,,,,,
Blue Mounds Trail,Dane,43.082,-89.532,2,unknown,unprotected,,,,,,,,,,,,
Bridge Road,Dane,43.049,-89.34,36,unknown,unprotected,,,,,,,,,,,,
Bryant,Dane,43.024,-89.357,7,destroyed,unprotected,,,,,,,,,,,,
Burrow's Park Bird,Dane,43.102,-89.368,2,intact ,protected,,,,,,,,,,,,
C. M. Colladay #1,Dane,42.964,-89.278,4,partially destroyed,unprotected,,,,,,,,,,,,
Camp Leonard,Dane,43.005,-89.307,6,unknown,unprotected,,,,,,,,,,,,
Capitol Park,Dane,43.075,-89.383,1,destroyed,unprotected,,,,,,,,,,,,
Colladay Point,Dane,42.962,-89.275,13,destroyed,unprotected,,,,,,,,,,,,
Crystal Lake,Dane,43.285,-89.611,5,partially destroyed,unprotected,,,,,,,,,,,,
Dale (or Evan-Nelson),Dane,43.018,-89.291,3,unknown,unprotected,,,,,,,,,,,,
Deansville,Dane,43.177,-89.095,4,partially destroyed,unprotected,,,,,,,,,,,,
Dividing Ridge,Dane,43.053,-89.399,34,destroyed,unprotected,,,,,,,,,,,,
E-Way,Dane,43.029,-89.367,6,unknown,unprotected,,,,,,,,,,,,
East Bank,Dane,43.275,-89.712,10,unknown,unprotected,,,,,,,,,,,,
Edgewood,Dane,43.049,-89.413,24,intact ,unprotected,,,,,,,,,,,,
Edward's Park,Dane,43.029,-89.306,11,partially destroyed,unprotected,,,,,,,,,,,,
Eighmy,Dane,43.033,-89.303,4,partially destroyed,unprotected,,,,,,,,,,,,
Elmside Park,Dane,43.09,-89.342,23,partially destroyed,unprotected,,,,,,,,,,,,
Eva,Dane,43.062,-89.419,8,unknown,unprotected,,,,,,,,,,,,
Evans,Dane,42.984,-89.32,3,partially destroyed,unprotected,,,,,,,,,,,,
Fairhaven,Dane,43.049,-89.325,6,destroyed,unprotected,,,,,,,,,,,,
Farwell's Point,Dane,43.132,-89.408,37,intact ,protected,,,,,,,,,,,,
