Site Name,County,Latitude,Longitutde,Sum,status,protection,,,,,,,,,,,,
Mink Escape,Richland,43.272,-90.313,5,unknown,unprotected,,,,,,,,,,,,
Nebraska Hollow,Richland,43.304,-90.277,1,unknown,unprotected,,,,,,,,,,,,
Old Channel,Richland,43.212,-90.299,20,destroyed,unprotected,,,,,,,,,,,,
Old Road,Richland,43.212,-90.442,8,unknown,unprotected,,,,,,,,,,,,
Pine River Enclosure,Richland,43.209,-90.312,12,unknown,unprotected,,,,,,,,,,,,
Pleasant Valley School,Richland,43.264,-90.445,1,intact,unprotected,,,,,,,,,,,,
Port Andrews,Richland,43.195,-90.666,34,intact,unprotected,,,,,,,,,,,,
Quarter Post Bird,Richland,43.212,-90.484,1,unknown,unprotected,,,,,,,,,,,,
Raptor,Richland,43.209,-90.442,31,unknown,unprotected,,,,,,,,,,,,
Schaeffer,Richland,43.212,-90.441,14,partially destroyed,unprotected,,,,,,,,,,,,
Smoking Birds,Richland,43.268,-90.315,38,unknown,unprotected,,,,,,,,,,,,
Spur,Richland,43.225,-90.456,4,unknown,unprotected,,,,,,,,,,,,
Stiles #1,Richland,43.231,-90.299,2,unknown,unprotected,,,,,,,,,,,,
Troller Mounds,Richland,43.203,-90.427,13,destroyed,unprotected,,,,,,,,,,,,
Twin Lizard/Catfish,Richland,43.204,-90.412,18,destroyed,unprotected,,,,,,,,,,,,
Wade,Richland,43.216,-90.543,13,intact,unprotected,,,,,,,,,,,,
Wanek,Richland,43.215,-90.592,1,unknown,unprotected,,,,,,,,,,,,
Waterbirds,Richland,43.275,-90.306,8,unknown,unprotected,,,,,,,,,,,,
William Thompson 1,Richland,43.213,-90.502,10,destroyed,unprotected,,,,,,,,,,,,
William Thompson 2,Richland,43.21,-90.502,4,destroyed,unprotected,,,,,,,,,,,,
Wolf,Richland,43.228,-90.468,8,destroyed,unprotected,,,,,,,,,,,,
A-15,Crawford,43.004,-91.101,4,destroyed,unprotected,,,,,,,,,,,,
A-16,Crawford,42.993,-91.069,3,unknown,unprotected,,,,,,,,,,,,
A-17,Crawford,43.368,-90.798,13,destroyed,unprotected,,,,,,,,,,,,
A-18,Crawford,43.408,-90.766,5,destroyed,unprotected,,,,,,,,,,,,
A-19,Crawford,43.18,-90.888,7,destroyed,unprotected,,,,,,,,,,,,
A-20,Crawford,43.129,-91.038,1,destroyed,unprotected,,,,,,,,,,,,
A-21,Crawford,43.243,-91.035,2,destroyed,unprotected,,,,,,,,,,,,
A-23,Crawford,43.359,-90.828,2,destroyed,unprotected,,,,,,,,,,,,
A-24,Crawford,43.359,-90.819,2,destroyed,unprotected,,,,,,,,,,,,
Armstrong,Crawford,43.238,-91.058,12,destroyed,unprotected,,,,,,,,,,,,
Batavia Bear,Crawford,43.166,-91.038,1,destroyed,unprotected,,,,,,,,,,,,
Bear Creek,Crawford,43.357,-90.814,4,destroyed,unprotected,,,,,,,,,,,,
Beckett #5,Crawford,43.158,-91.138,8,intact,unprotected,,,,,,,,,,,,
Black Oats,Crawford,43.158,-91.033,10,unknown,unprotected,,,,,,,,,,,,
Blackhawk Mounds,Crawford,43.252,-90.869,2,unknown,unprotected,,,,,,,,,,,,
Bridgeport,Crawford,43.006,-91.057,2,destroyed,unprotected,,,,,,,,,,,,
Bryan,Crawford,43.143,-90.729,5,intact,unprotected,,,,,,,,,,,,
Calvary Cemetery Mound,Crawford,43.0707532,-91.1495406,3,unknown,unprotected,,,,,,,,,,,,
Camel Mound,Crawford,43.079,-91.136,1,unknown,unprotected,,,,,,,,,,,,
Campbell Coulee I,Crawford,43.086,-91.126,18,unknown,unprotected,,,,,,,,,,,,
Campbell Coulee II,Crawford,43.088,-91.116,5,unknown,unprotected,,,,,,,,,,,,
Caya,Crawford,43.209,-91.094,1,unknown,unprotected,,,,,,,,,,,,
Christianson I,Crawford,43.093,-90.832,3,destroyed,unprotected,,,,,,,,,,,,
Cipra,Crawford,43.036,-90.987,21,destroyed,unprotected,,,,,,,,,,,,
Citron Valley,Crawford,43.202,-90.879,2,destroyed,unprotected,,,,,,,,,,,,
Copper Creek II,Crawford,43.317,-91.053,29,destroyed,unprotected,,,,,,,,,,,,
Dahmen I,Crawford,43.004,-91.107,16,destroyed,unprotected,,,,,,,,,,,,
Dividing Ridge/Hazens Corners,Crawford,43.127,-91.042,31,unknown,unprotected,,,,,,,,,,,,
Dremsa,Crawford,43.169,-90.71,2,destroyed,unprotected,,,,,,,,,,,,
Du Charme Split,Crawford,43.152,-91.127,3,destroyed,unprotected,,,,,,,,,,,,
Fairground,Crawford,43.311,-90.843,14,destroyed,unprotected,,,,,,,,,,,,
Famechon Ridge,Crawford,43.123,-91.046,2,destroyed,unprotected,,,,,,,,,,,,
Fischer I,Crawford,43.291,-91.029,9,intact,unprotected,,,,,,,,,,,,
Foley I,Crawford,43.223,-91.053,10,intact ,protected,,,,,,,,,,,,
Foot of the Hill,Crawford,43.391,-90.793,13,destroyed,unprotected,,,,,,,,,,,,
Four Kites,Crawford,43.158,-91.097,4,destroyed,unprotected,,,,,,,,,,,,
Gays Mills,Crawford,43.314,-90.853,4,unknown,unprotected,,,,,,,,,,,,
Gravel Pit I,Crawford,43.009,-91.109,8,unknown,unprotected,,,,,,,,,,,,
Gravel Pit II,Crawford,43.011,-91.114,25,destroyed,unprotected,,,,,,,,,,,,
Hogback I,Crawford,43.203,-90.869,8,unknown,unprotected,,,,,,,,,,,,
Hogback II,Crawford,43.193,-90.869,5,unknown,unprotected,,,,,,,,,,,,
Hogback III,Crawford,43.192,-90.87,3,unknown,unprotected,,,,,,,,,,,,
Interested Bear,Crawford,43.158,-91.086,1,destroyed,unprotected,,,,,,,,,,,,
Kickapoo River Road,Crawford,43.295,-90.839,4,unknown,unprotected,,,,,,,,,,,,
Knoble,Crawford,43.348,-90.838,17,unknown,unprotected,,,,,,,,,,,,
Knower,Crawford,43.405,-91.1,1,destroyed,unprotected,,,,,,,,,,,,
Lennon Ridge,Crawford,43.406,-90.892,28,unknown,unprotected,,,,,,,,,,,,
Level Plat,Crawford,43.002,-91.101,1,unknown,unprotected,,,,,,,,,,,,
Limery Coulee II,Crawford,43.085,-91.136,2,destroyed,unprotected,,,,,,,,,,,,
Metz,Crawford,43.347,-91.046,2,intact,unprotected,,,,,,,,,,,,
Petersburg,Crawford,43.274,-90.839,2,unknown,unprotected,,,,,,,,,,,,
Picatee Coulee I,Crawford,43.136,-91.153,4,destroyed,unprotected,,,,,,,,,,,,
Pomerening,Crawford,43.092,-90.836,6,intact,unprotected,,,,,,,,,,,,
Prairie du Chien,Crawford,43.037,-91.114,2,unknown,unprotected,,,,,,,,,,,,
PSA,Crawford,43.387,-90.803,21,unknown,unprotected,,,,,,,,,,,,
Richland Creek,Crawford,43.166,-90.71,1,unknown,unprotected,,,,,,,,,,,,
Roosa,Crawford,43.38,-91.021,1,unknown,unprotected,,,,,,,,,,,,
Roy Peterson,Crawford,43.226,-91.07,5,intact,unprotected,,,,,,,,,,,,
Rush Creek Effigy,Crawford,43.375,-91.153,1,unknown,unprotected,,,,,,,,,,,,
Rush Creek I,Crawford,43.374,-91.152,39,intact,unprotected,,,,,,,,,,,,
Rush Creek II,Crawford,43.376,-91.147,2,unknown,unprotected,,,,,,,,,,,,
Sand Creek,Crawford,43.286,-90.84,8,unknown,unprotected,,,,,,,,,,,,
Sand Hill Road Spring,Crawford,43.285,-90.84,3,unknown,unprotected,,,,,,,,,,,,
Selch I,Crawford,43.023,-91.109,3,intact,unprotected,,,,,,,,,,,,
Sherry I,Crawford,43.393,-90.797,18,unknown,unprotected,,,,,,,,,,,,
Slough,Crawford,43.01,-91.032,22,destroyed,unprotected,,,,,,,,,,,,
Smith II,Crawford,43.283,-91.035,1,unknown,unprotected,,,,,,,,,,,,
Smith Hollow,Crawford,43.359,-90.815,19,destroyed,unprotected,,,,,,,,,,,,
Soaring Buzzard,Crawford,43.166,-91.133,1,intact,unprotected,,,,,,,,,,,,
Soldier's Grove,Crawford,43.402,-90.767,20,destroyed,unprotected,,,,,,,,,,,,
Straight Line,Crawford,43.356,-90.838,5,unknown,unprotected,,,,,,,,,,,,
Straka,Crawford,43.125,-90.89,1,intact,unprotected,,,,,,,,,,,,
Strong Swallow,Crawford,43.153,-91.013,1,unknown,unprotected,,,,,,,,,,,,
Strong's Man Mound,Crawford,43.212,-91.048,1,unknown,unprotected,,,,,,,,,,,,
Sully,Crawford,43.272,-91.037,1,intact,unprotected,,,,,,,,,,,,
Swatek Ridge,Crawford,43.198,-91.012,18,unknown,unprotected,,,,,,,,,,,,
Varo,Crawford,43.201,-91.108,3,intact,unprotected,,,,,,,,,,,,
Vilas/Flucke,Crawford,43.009,-91.149,62,partially destroyed,unprotected,,,,,,,,,,,,
Wall Ridge,Crawford,43.187,-91.067,1,unknown,unprotected,,,,,,,,,,,,
Wall-Smethurst,Crawford,43.201,-91.111,12,unknown,unprotected,,,,,,,,,,,,
Wallin I,Crawford,43.243,-91.054,3,unknown,unprotected,,,,,,,,,,,,
Wauzeka Ridge I,Crawford,43.095,-90.869,2,unknown,unprotected,,,,,,,,,,,,
Wauzeka Ridge II,Crawford,43.094,-90.873,3,unknown,unprotected,,,,,,,,,,,,
Wauzeka Terrace East,Crawford,43.085,-90.879,4,unknown,unprotected,,,,,,,,,,,,
Wauzeka Terrace West,Crawford,43.084,-90.92,4,unknown,unprotected,,,,,,,,,,,,
X-131,Crawford,43.361,-90.812,8,destroyed,unprotected,,,,,,,,,,,,
Zinkle I,Crawford,43.137,-91.106,2,destroyed,unprotected,,,,,,,,,,,,
Effigy Mounds National Monument,Iowa State,43.0892,-91.2006,206,Intact,protected,,,,,,,,,,,,
