POI_ID,poiName,latitude,longitude,infoPOI
1,Puerto Maldonado,-12.59132,-69.19555,"Puerto Maldonado is the capital city of Madre de Dios region, population >80,000"
2,Interoceanic Highway,-12.91276,-69.923598,"The Interoceanic Highway was officially opened in 2012. This international, transcontinental highway runs through the Amazon, connecting Peru’s Pacific ports to Brazil’s Atlantic coast."
