SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,Comment_Vax,PctMetMinRequirements_Vax
21st Century Prep Sch,21st Century Prep Sch,Elementary School,K4,8,Non District Charter Schools,Regular,Charter,1220 Mound Ave  Racine WI  53404,Racine,1,71863,8110,100,81100100,5500045,2575,42.729156,-87.796006,Report received,90
All Dist 4 Yr Old Kindergarten,Racine Unified,Elementary School,K4,0,Public school,Regular,No,2015 Franklin St  Racine WI  53403-2634,Racine,1,207,4620,113,46200113,5512360,2657,42.705576,-87.789972,Report received,90
Appleton Bilingual Sch,Appleton Area,Elementary School,KG,6,Public school,Regular,Charter,913 N Oneida St  Appleton WI  54911,Outagamie,6,649,147,155,1470155,5500390,2880,44.270061,-88.406598,Report received,90
Arlington Elementary ,Poynette,Elementary School,PK,0,Public school,Regular,No,307 Bullen Rd  Arlington WI  53911,Columbia,5,9311,4536,20,45360020,5512120,1577,43.339512,-89.382103,Report received,90
Auburndale High School,Auburndale,High School,6,12,Public school,Regular,No,10629 North Rd  Auburndale WI  54412,Wood,5,12468,203,60,2030060,5500600,91,44.631432,-90.006519,Report received,90
Bayfield High School,Bayfield,High School,9,12,Public school,Regular,No,300 N 4th St  Bayfield WI  54814,Bayfield,12,16448,315,40,3150040,5500900,121,46.815143,-90.819396,Report received,90
Belleville Middle School ,Belleville,Middle School,7,8,Public school,Regular,No,625 W Church St  Belleville WI  53508,Dane,2,5995,350,60,3500060,5500990,133,42.858876,-89.543879,Report received,90
Birchwood Blue Hills Charter,Birchwood,High School,7,12,Public school,Regular,Charter,201 E Birch St  Birchwood WI  54817,Washburn,11,486,441,450,4410450,5501170,2800,45.655324,-91.553837,Report received,90
Bonduel Elementary ,Bonduel,Elementary School,K4,6,Public school,Regular,No,400 W Green Bay St  Bonduel WI  54107-9268,Shawano,8,10421,602,20,6020020,5501470,188,44.740441,-88.451646,Report received,90
Brandon Elementary ,Rosendale-Brandon,Elementary School,K4,5,Public school,Regular,No,200 W Bowen St  Brandon WI  53919-8510,Fond du Lac,6,9439,4956,25,49560025,5513100,1727,43.733894,-88.78448,Report received,90
Brandon Middle School ,Rosendale-Brandon,Middle School,6,8,Public school,Regular,No,200 W Bowen St  Brandon WI  53919-8510,Fond du Lac,6,9440,4956,30,49560030,5513100,1728,43.733894,-88.78448,Report received,90
Brighton Elementary ,Brighton #1,Elementary School,K4,8,Public school,Regular,No,1200 248th Ave  Kansasville WI  53139-9626,Kenosha,2,3051,657,20,6570020,5501650,205,42.640998,-88.110535,Report received,90
Brompton Sch,Kenosha,Elementary School,KG,8,Public school,Regular,Charter,8518 22nd Ave  Kenosha WI  53143,Kenosha,1,39536,2793,65,27930065,5507320,1285,42.550368,-87.835232,Report received,90
Bruce Middle School ,Bruce,Middle School,6,8,Public school,Regular,No,104 W Washington Ave  Bruce WI  54819-9641,Rusk,10,39556,735,210,7350210,5501830,1222,45.458809,-91.274169,Report received,90
