SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,Comment_Vax,PctMetMinRequirements_Vax
Cadott Elementary ,Cadott Community,Elementary School,K4,6,Public school,Regular,No,463 E Mills St  Cadott WI  54727,Chippewa,10,15455,870,20,8700020,5502040,247,44.95168,-91.146099,Report received,90
Chequamegon Middle School ,Chequamegon,Middle School,6,8,Public school,Regular,No,64 S Grant St  Glidden WI  54527,Ashland,12,452,1071,200,10710200,5500058,2766,46.134331,-90.577039,Report received,90
Clark Street Community Sch,Middleton-Cross Plains Area,High School,9,12,Public school,Regular,Charter,2429 Clark St  Middleton WI  53562-2619,Dane,2,728,3549,400,35490400,5509510,2882,43.102187,-89.510092,Report received,90
Clarke Street Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,2816 W Clarke St  Milwaukee WI  53210-2621,Milwaukee,1,4783,3619,110,36190110,5509600,1140,43.066962,-87.949185,Report received,90
Columbus Elementary ,Appleton Area,Elementary School,PK,6,Public school,Regular,No,913 N Oneida St  Appleton WI  54911-4910,Outagamie,6,17332,147,80,1470080,5500390,50,44.270061,-88.406598,Report received,90
Columbus Elementary ,Columbus,Elementary School,K4,2,Public school,Regular,No,200 Fuller St  Columbus WI  53925-1647,Columbia,5,9485,1183,80,11830080,5502820,321,43.335558,-89.021263,Report received,90
Congress Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,5225 W Lincoln Creek Dr  Milwaukee WI  53218-5721,Milwaukee,1,5231,3619,116,36190116,5509600,1143,43.098366,-87.978692,Report received,90
Discovery Charter Sch,Columbus,Elementary School,KG,3,Public school,Regular,Charter,200 Fuller St  Columbus WI  53925-1647,Columbia,5,291,1183,110,11830110,5502820,2734,43.335558,-89.021263,Report received,90
Dr Edward G Dyer Sch,Burlington Area,Elementary School,4,6,Public school,Regular,No,201 S Kendrick Ave  Burlington WI  53105-1799,Racine,2,71184,777,110,7770110,5501890,2462,42.67386,-88.292748,Report received,90
Dresser Elementary ,Saint Croix Falls,Elementary School,K4,0,Public school,Regular,No,131 2nd Ave  Dresser WI  54009,Polk,11,10080,5019,40,50190040,5513230,1744,45.357588,-92.632028,Report received,90
Drummond Elementary ,Drummond Area,Elementary School,K4,6,Public school,Regular,No,52440 Eastern Ave  Drummond WI  54832,Bayfield,12,16568,1491,20,14910020,5503810,398,46.335952,-91.255568,Report received,90
E Cook Elementary ,Oshkosh Area,Elementary School,KG,5,Public school,Regular,No,1600 Hazel St  Oshkosh WI  54901-3164,Winnebago,6,17145,4179,60,41790060,5511190,1483,44.036781,-88.522402,Report received,90
East Troy Middle School ,East Troy Community,Middle School,6,8,Public school,Regular,No,3143 Graydon Ave  East Troy WI  53120-1193,Walworth,2,2789,1540,60,15400060,5504020,411,42.786351,-88.418228,Report received,90
Eden Elementary ,Campbellsport,Elementary School,K4,5,Public school,Regular,No,210 N Elizabeth St  Eden WI  53019,Fond du Lac,6,1075,910,80,9100080,5502160,260,43.694257,-88.360855,Report received,90
Edgar Elementary ,Edgar,Elementary School,K4,5,Public school,Regular,No,112 N 2nd Ave  Edgar WI  54426,Marathon,9,12552,1561,20,15610020,5504080,440,44.924062,-89.962363,Report received,90
Edison Elementary ,Appleton Area,Elementary School,PK,6,Public school,Regular,No,412 N Meade St  Appleton WI  54911-5570,Outagamie,6,17333,147,100,1470100,5500390,51,44.265382,-88.394445,Report received,90
Elkhart Lake Elementary /Mid,Elkhart Lake-Glenbeulah,Elementary School,K4,8,Public school,Regular,No,251 E Maple St  Elkhart Lake WI  53020,Sheboygan,7,1080,1631,20,16310020,5504260,455,43.835588,-88.014606,Report received,90
Fall Creek Middle School ,Fall Creek,Middle School,6,8,Public school,Regular,No,336 E Hoover Ave  Fall Creek WI  54742-9609,Eau Claire,10,15734,1729,50,17290050,5504500,482,44.759636,-91.274052,Report received,90
Farmington Elementary ,Kewaskum,Elementary School,K4,5,Public school,Regular,No,8736 Boltonville Rd  Kewaskum WI  53040-9722,Washington,6,1519,2800,40,28000040,5507380,835,43.506472,-88.099193,Report received,90
Florence Elementary ,Florence County,Elementary School,K4,6,Public school,Regular,No,5844 Bill Anderson Dr  Florence WI  54121,Florence,8,10589,1855,40,18550040,5504650,489,45.929778,-88.248371,Report received,90
Forest Park Elementary ,Kenosha,Elementary School,K4,5,Public school,Regular,No,6810 45th Ave  Kenosha WI  53142-3873,Kenosha,1,3069,2793,140,27930140,5507320,806,42.57241,-87.863055,Report received,90
Gilman High School,Gilman,High School,7,12,Public school,Regular,No,325 N Fifth Ave  Gilman WI  54433,Taylor,10,12600,2135,60,21350060,5505280,568,45.16884,-90.807063,Report received,90
Glacial Drumlin Sch,Monona Grove,Middle School,5,8,Public school,Regular,No,801 Damascus Tr  Cottage Grove WI  53527,Dane,2,8635,3675,100,36750100,5509810,1293,43.091523,-89.222474,Report received,90
Glen Hills Middle School ,Glendale-River Hills,Combined Elementary/Secondary School,4,8,Public school,Regular,No,2600 W Mill Rd  Glendale WI  53209-3286,Milwaukee,1,4703,2184,10,21840010,5505460,575,43.13475,-87.944582,Report received,90
Glenwood City Elementary ,Glenwood City,Elementary School,K4,5,Public school,Regular,No,857 320th St  Glenwood City WI  54013,Saint Croix,11,10118,2198,60,21980060,5505520,586,45.066393,-92.156613,Report received,90
Goodland Elementary ,Racine Unified,Elementary School,K4,5,Public school,Regular,No,4800 Graceland Blvd  Racine WI  53406-3603,Racine,1,5895,4620,122,46200122,5512360,1617,42.726979,-87.837556,Report received,90
Grand Marsh Elementary ,Adams-Friendship Area,Elementary School,K4,4,Public school,Regular,No,620 County Road E  Grand Marsh WI  53936,Adams,5,9579,14,140,140140,5500060,10,43.607826,-89.777408,Report received,90
Greendale Middle School ,Greendale,Middle School,6,8,Public school,Regular,No,6800 Schoolway  Greendale WI  53129-1819,Milwaukee,1,2958,2296,80,22960080,5505910,2255,42.940441,-87.998658,Report received,90
Hartford Avenue Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,2227 E Hartford Ave  Milwaukee WI  53211-3101,Milwaukee,1,4811,3619,208,36190208,5509600,1183,43.076989,-87.882053,Report received,90
Hartland Fine Arts Ldrshp Acad,Hartland-Lakeside J3,Elementary School,KG,2,Public school,Regular,No,232 Church St  Hartland WI  53209,Waukesha,1,778,2460,130,24600130,5506140,2913,43.107101,-88.342234,Report received,90
Hilbert Elementary ,Hilbert,Elementary School,K4,4,Public school,Regular,No,1139 W Milwaukee St  Hilbert WI  54129-0390,Calumet,7,10682,2534,20,25340020,5506450,700,44.138109,-88.167995,Report received,90
Horizon Elementary ,Plymouth Joint,Elementary School,K4,4,Public school,Regular,No,411 S Highland Ave  Plymouth WI  53073-2534,Sheboygan,7,1930,4473,50,44730050,5511940,2445,43.741454,-87.961131,Report received,90
Horizon Elementary ,Sun Prairie Area,Elementary School,PK,5,Public school,Regular,No,625 N Heatherstone Dr  Sun Prairie WI  53590,Dane,2,6,5656,150,56560150,5514640,2624,43.188523,-89.280811,Report received,90
Hortonville Middle School ,Hortonville Area,Middle School,5,8,Public school,Regular,No,220 Warner St  Hortonville WI  54944,Outagamie,6,17829,2583,30,25830030,5506600,2408,44.338461,-88.629055,Report received,90
Ithaca Elementary ,Ithaca,Elementary School,K4,5,Public school,Regular,No,24615 State Hwy 58  Richland Center WI  53581-6642,Richland,3,7301,2660,40,26600040,5506960,751,43.342572,-90.281638,Report received,90
Kennedy Middle School ,Germantown,Middle School,6,8,Public school,Regular,No,W160N11836 Crusader Ct  Germantown WI  53022,Washington,1,1138,2058,110,20580110,5505160,554,43.23288,-88.106694,Report received,90
KM Explore,Kettle Moraine,Elementary School,KG,5,Public school,Regular,Charter,219 N Oak Crest Dr  Wales WI  53183-9711,Waukesha,1,782,1376,180,13760180,5503510,2914,43.007418,-88.376468,Report received,90
KM Global Sch,Kettle Moraine,High School,9,12,Public school,Regular,Charter,349 N Oak Crest Dr  Wales WI  53183-9711,Waukesha,1,654,1376,450,13760450,5503510,2876,43.009409,-88.377538,Report received,90
KTEC,Kenosha,Elementary School,K4,8,Public school,Regular,Charter,6811 18th Ave  Kenosha WI  53143-4932,Kenosha,1,251,2793,190,27930190,5507320,2758,42.571126,-87.830545,Report received,90
La Farge Elementary ,La Farge,Elementary School,K4,5,Public school,Regular,No,301 W Adams St  La Farge WI  54639-7936,Vernon,4,14721,2863,20,28630020,5507560,872,43.579179,-90.639254,Report received,90
Lad Lake Synergy,Milwaukee,Combined Elementary/Secondary School,6,12,Public school,Alternative,No,2820 W Grant St  Milwaukee WI  53215,Milwaukee,1,72069,3619,296,36190296,5509600,2567,43.005113,-87.950079,Report received,90
Lake Denoon Middle School ,Muskego-Norway,Middle School,5,8,Public school,Regular,No,W216S10586 Crowbar Dr  Muskego WI  53150-8464,Waukesha,1,70062,3857,200,38570200,5510170,1850,42.852967,-88.18198,Report received,90
Lake Superior Learning Comm,Ashland,Elementary School,3,6,Public school,Regular,Charter,1101 Binsfield Rd  Ashland WI  54806-3759,Ashland,12,780,170,130,1700130,5500510,2928,46.568572,-90.878948,Report received,90
Lakeside Elementary ,Oshkosh Area,Elementary School,KG,5,Public school,Regular,No,4991 S US Highway 45  Oshkosh WI  54902-7452,Winnebago,6,17149,4179,160,41790160,5511190,1488,43.946328,-88.505987,Report received,90
Lodi Middle School ,Lodi,Middle School,6,8,Public school,Regular,No,900 Sauk St  Lodi WI  53555,Columbia,5,6822,3150,100,31500100,5508190,906,43.312742,-89.542922,Report received,90
Loganville Elementary ,Reedsburg,Elementary School,PK,3,Public school,Regular,No,S5864 State Road 23  Loganville WI  53943-9702,Sauk,5,9597,4753,40,47530040,5512660,1663,43.385775,-90.017885,Report received,90
Mayville Middle School ,Mayville,Combined Elementary/Secondary School,3,8,Public school,Regular,No,445 N Henninger St  Mayville WI  53050-2816,Dodge,6,1609,3367,60,33670060,5508880,1029,43.503182,-88.552655,Report received,90
Meadowbrook Elementary ,Howard-Suamico,Elementary School,PK,4,Public school,Regular,No,720 Hillcrest Hts  Green Bay WI  54313-6918,Brown,7,12096,2604,50,26040050,5506630,718,44.561195,-88.098485,Report received,90
Meadowbrook Elementary ,Waukesha,Elementary School,K4,5,Public school,Regular,No,3130 Rolling Ridge Dr  Waukesha WI  53188-1356,Waukesha,1,4111,6174,280,61740280,5515780,2018,43.04538,-88.284207,Report received,90
Milw Hi School of the Arts,Milwaukee,High School,9,12,Public school,Regular,No,2300 W Highland Ave  Milwaukee WI  53233-1007,Milwaukee,1,5624,3619,38,36190038,5509600,2339,43.045123,-87.941497,Report received,90
Minocqua Elementary ,Minocqua J1,Elementary School,K4,8,Public school,Regular,No,7450 Titus Dr  Minocqua WI  54548-9139,Oneida,9,13898,3640,20,36400020,5509690,1278,45.823175,-89.714081,Report received,90
Mount Horeb Middle School ,Mount Horeb Area,Middle School,6,8,Public school,Regular,No,900 E Garfield St  Mount Horeb WI  53572,Dane,2,7126,3794,110,37940110,5509990,385,43.006631,-89.729457,Report received,90
Mountain Bay Elementary ,D C Everest Area,Elementary School,PK,5,Public school,Regular,No,8602 Schofield Ave  Weston WI  54476-4655,Marathon,9,178,4970,130,49700130,5513170,2643,44.900573,-89.513649,Report received,90
Nash Elementary ,Kenosha,Elementary School,K4,5,Public school,Regular,No,6801 99th Ave  Kenosha WI  53142-7574,Kenosha,1,209,2793,170,27930170,5507320,2653,42.573373,-87.928636,Report received,90
New Auburn Jr-Sr High School,New Auburn,High School,7,12,Public school,Regular,No,704 N East St  New Auburn WI  54757,Barron,10,15938,3920,40,39200040,5510440,1363,45.209656,-91.556872,Report received,90
New Glarus Elementary ,New Glarus,Elementary School,K4,5,Public school,Regular,No,1420 2nd St  New Glarus WI  53574,Green,2,7185,3934,20,39340020,5510500,1375,42.805686,-89.634729,Report received,90
Northland Pines Elementary -St Germain,Northland Pines,Elementary School,K4,4,Public school,Regular,No,8234 Highway 70 W  Saint Germain WI  54558,Vilas,9,14026,1526,100,15260100,5503860,408,45.912984,-89.498118,Report received,90
Northland Pines High School,Northland Pines,High School,9,12,Public school,Regular,No,1800 Pleasure Island Rd  Eagle River WI  54521-8980,Vilas,9,13709,1526,90,15260090,5503860,406,45.937382,-89.253007,Report received,90
Northstar Middle School ,Eau Claire Area,Middle School,6,8,Public school,Regular,No,2711 Abbe Hill Dr  Eau Claire WI  54703-1248,Eau Claire,10,26958,1554,560,15540560,5504050,645,44.846033,-91.467965,Report received,90
Oakfield Middle School ,Oakfield,Middle School,6,8,Public school,Regular,No,250 Church St  Oakfield WI  53065,Fond du Lac,6,1771,4025,80,40250080,5510860,1416,43.686069,-88.542435,Report received,90
O'Keeffe Middle School ,Madison Metropolitan,Middle School,6,8,Public school,Regular,No,510 S Thornton Ave  Madison WI  53703-3793,Dane,2,7736,3269,540,32690540,5508520,949,43.085822,-89.358003,Report received,90
Ozaukee Elementary ,Northern Ozaukee,Elementary School,K4,5,Public school,Regular,No,401 Highland Dr  Fredonia WI  53021-9491,Ozaukee,1,1101,1945,40,19450040,5504890,529,43.474149,-87.942399,Report received,90
P4J,Janesville,Elementary School,K4,0,Public school,Regular,No,527 S Franklin St  Janesville WI  53548-4779,Rock,2,421,2695,100,26950100,5507020,2770,42.674849,-89.018605,Report received,90
Potosi Elementary ,Potosi,Elementary School,K4,5,Public school,Regular,No,128 Highway 61 N  Potosi WI  53820,Grant,3,9087,4529,20,45290020,5512090,1575,42.691451,-90.711276,Report received,90
Rib Lake Elementary ,Rib Lake,Elementary School,K4,5,Public school,Regular,No,1236 Kennedy St  Rib Lake WI  54470,Taylor,9,71239,4795,100,47950100,5512780,2463,45.327963,-90.206062,Report received,90
Ridgeland-Dallas Elementary ,Barron Area,Elementary School,K4,4,Public school,Regular,No,315 Main St  Ridgeland WI  54763,Dunn,11,16032,308,120,3080120,5500870,117,45.203826,-91.893099,Report received,90
Riverdale High School,Riverdale,High School,9,12,Public school,Regular,No,235 E Elm St  Muscoda WI  53573,Grant,3,30777,3850,120,38500120,5510140,1328,42.736634,-90.480083,Report received,90
Riverview Middle School ,Barron Area,Middle School,5,8,Public school,Regular,No,135 W River Ave  Barron WI  54812-1063,Barron,11,16378,308,140,3080140,5500870,118,45.404153,-91.860325,Report received,90
Riverview Middle School ,Plymouth Joint,Middle School,5,8,Public school,Regular,No,300 Riverside Cir  Plymouth WI  53073,Sheboygan,7,1933,4473,120,44730120,5511940,1563,43.755428,-87.978204,Report received,90
Rose Glen Elementary ,Waukesha,Elementary School,K4,5,Public school,Regular,No,W273S3845 Brookhill Dr  Waukesha WI  53189-6499,Waukesha,1,4112,6174,410,61740410,5515780,2290,42.974709,-88.294216,Report received,90
Saint Croix Central Middle School ,Saint Croix Central,Middle School,5,8,Public school,Regular,No,1295 Vine St  Hammond WI  54015,Saint Croix,11,10149,2422,80,24220080,5506060,673,44.973641,-92.437813,Report received,90
Savanna Oaks Middle School ,Verona Area,Middle School,6,8,Public school,Regular,No,5890 Lacy Rd  Fitchburg WI  53711-5117,Dane,2,30738,5901,50,59010050,5515330,1149,43.002508,-89.451899,Report received,90
Seymour Middle School ,Seymour Community,Middle School,6,8,Public school,Regular,No,10 Circle Dr  Seymour WI  54165-1678,Outagamie,7,11116,5138,80,51380080,5513530,1772,44.501832,-88.333756,Report received,90
Shawano Community Middle School ,Shawano,Middle School,6,8,Public school,Regular,No,1050 S Union St  Shawano WI  54166-3457,Shawano,8,11140,5264,70,52640070,5513620,1775,44.76942,-88.601256,Report received,90
Shorewood Intermediate,Shorewood,Middle School,7,8,Public school,Regular,No,3830 N Morris Blvd  Shorewood WI  53211-2299,Milwaukee,1,4815,5355,60,53550060,5513800,1812,43.087133,-87.891073,Report received,90
Shullsburg Jr,Shullsburg,Junior High School,6,8,Public school,Regular,No,444 N Judgement St  Shullsburg WI  53586-9414,Lafayette,3,7413,5362,28,53620028,5513830,2400,42.575593,-90.230563,Report received,90
Slinger Middle School ,Slinger,Middle School,6,8,Public school,Regular,No,521 Olympic Dr  Slinger WI  53086-9354,Washington,6,2257,5390,60,53900060,5513950,1820,43.330504,-88.266531,Report received,90
Steffen Middle School ,Mequon-Thiensville,Middle School,6,8,Public school,Regular,No,6633 W Steffen Dr  Mequon WI  53092-4398,Ozaukee,1,2333,3479,140,34790140,5509130,1089,43.218269,-87.993003,Report received,90
Union Grove Elementary ,Union Grove J1,Elementary School,K4,8,Public school,Regular,No,1745 Milldrum St  Union Grove WI  53182-1763,Racine,2,3746,5859,20,58590020,5515180,1964,42.677819,-88.04567,Report received,90
Unity Elementary ,Unity,Elementary School,K4,4,Public school,Regular,No,1908 150th St Hwy 46 N  Balsam Lake WI  54810-7267,Polk,11,16327,238,60,2380060,5500750,97,45.491816,-92.468381,Report received,90
Waupaca Learning Center Elementary ,Waupaca,Elementary School,K4,4,Public school,Regular,No,1515 Shoemaker Rd  Waupaca WI  54981-2093,Waupaca,5,18281,6195,70,61950070,5515840,1203,44.3461,-89.06444,Report received,90
Wayne Bartels Middle School ,Portage Community,Middle School,6,8,Public school,Regular,No,2505 New Pinery Rd  Portage WI  53901-1108,Columbia,5,9211,4501,160,45010160,5512060,2283,43.55891,-89.467221,Report received,90
Webb Middle School ,Reedsburg,Middle School,6,8,Public school,Regular,No,707 N Webb Ave  Reedsburg WI  53959-1142,Sauk,5,9834,4753,100,47530100,5512660,1665,43.539783,-90.009764,Report received,90
Whitnall Middle School ,Whitnall,Middle School,6,8,Public school,Regular,No,5025 S 116th St  Greenfield WI  53228-3198,Milwaukee,1,5602,6470,120,64700120,5506000,662,42.953281,-88.05925,Report received,90
Wilkins Elementary ,Platteville,Elementary School,K4,0,Public school,Regular,No,425 Broadway St  Platteville WI  53818-2899,Grant,3,9015,4389,20,43890020,5511850,1551,42.73603,-90.468162,Report received,90
Willow River Elementary ,Hudson,Elementary School,KG,5,Public school,Regular,No,1118 4th St  Hudson WI  54016-1255,Saint Croix,11,10156,2611,10,26110010,5506690,2332,44.982016,-92.753695,Report received,90
Winter Middle School ,Winter,Middle School,6,8,Public school,Regular,No,6585 W Grove St  Winter WI  54896,Sawyer,12,17127,6615,100,66150100,5516860,2315,45.819385,-91.01234,Report received,90
Wisconsin Rapids Area Middle School ,Wisconsin Rapids,Middle School,6,8,Public school,Regular,No,1921 27th Ave S  Wisconsin Rapids WI  54495-5698,Wood,5,13437,6685,290,66850290,5517070,2216,44.37858,-89.856461,Report received,90
Wonewoc-Center Elementary ,Wonewoc-Union Center,Elementary School,K4,5,Public school,Regular,No,101 School Rd  Wonewoc WI  53968,Juneau,4,9948,6713,60,67130060,5517130,2224,43.662511,-90.222925,Report received,90
Woodland Progressive Sch,Minocqua J1,Middle School,6,8,Public school,Regular,Charter,7450 Titus Dr  Minocqua WI  54548-9139,Oneida,9,583,3640,250,36400250,5509690,2840,45.823175,-89.714081,Report received,90
Wyeville Elementary ,Tomah Area,Elementary School,KG,5,Public school,Regular,No,225 W Tomah Rd  Wyeville WI  54660-4004,Monroe,4,15132,5747,240,57470240,5514910,1941,44.028363,-90.390735,Report received,90
Addison Elementary ,Slinger,Elementary School,K4,5,Public school,Regular,No,5050 Indian Rd  Hartford WI  53027,Washington,6,71851,5390,100,53900100,5513950,2540,43.375351,-88.298077,Report received,91
Alexander Middle School ,Nekoosa,Combined Elementary/Secondary School,4,8,Public school,Regular,No,540 Birch St  Nekoosa WI  54457-1318,Wood,5,12968,3906,20,39060020,5510380,1358,44.309455,-89.916479,Report received,91
Almena Elementary ,Barron Area,Elementary School,KG,4,Public school,Regular,No,230 Lulu Ave  Almena WI  54805,Barron,11,16201,308,20,3080020,5500870,113,45.416493,-92.033573,Report received,91
Altoona High School,Altoona,High School,9,12,Public school,Regular,No,711 7th St W  Altoona WI  54720-1584,Eau Claire,10,15354,112,40,1120040,5500270,26,44.802099,-91.442696,Report received,91
Antigo Middle School ,Antigo Unified,Middle School,6,8,Public school,Regular,No,815 7th Ave  Antigo WI  54409-1897,Langlade,9,12387,140,50,1400050,5500360,36,45.136928,-89.155364,Report received,91
Banner Prep,Milwaukee,High School,9,12,Public school,Alternative,No,3517 W Courtland Ave  Milwaukee WI  53209-5919,Milwaukee,1,375,3619,432,36190432,5509600,2707,43.102097,-87.957303,Report received,91
Bessie Allen Middle School ,North Fond du Lac,Middle School,6,8,Public school,Regular,No,305 McKinley St  North Fond du Lac WI  54937,Fond du Lac,6,17762,3983,20,39830020,5510740,1396,43.812725,-88.486959,Report received,91
Bethesda Elementary ,Waukesha,Elementary School,K4,5,Public school,Regular,No,730 S University Dr  Waukesha WI  53188-4599,Waukesha,1,4106,6174,60,61740060,5515780,2006,43.0041,-88.276681,Report received,91
Big Bend Elementary ,Mukwonago,Elementary School,PK,6,Public school,Regular,No,W230S8695 Big Bend Dr  Big Bend WI  53103-9671,Waukesha,1,2559,3822,20,38220020,5510060,1315,42.887095,-88.20939,Report received,91
Bonduel Middle School ,Bonduel,Middle School,7,8,Public school,Regular,No,400 W Green Bay St  Bonduel WI  54107-9268,Shawano,8,10422,602,21,6020021,5501470,2383,44.740441,-88.451646,Report received,91
Boscobel High School,Boscobel Area,High School,9,12,Public school,Regular,No,300 Brindley St  Boscobel WI  53805-1798,Grant,3,8765,609,40,6090040,5501500,193,43.130352,-90.700774,Report received,91
Boyd Elementary ,Stanley-Boyd Area,Elementary School,K4,0,Public school,Regular,No,303 E Park St  Boyd WI  54726-9401,Chippewa,10,15452,5593,20,55930020,5514430,1864,44.949149,-91.038428,Report received,91
Brillion Middle School ,Brillion,Middle School,6,8,Public school,Regular,No,315 S Main St  Brillion WI  54110-1294,Calumet,7,10438,658,21,6580021,5501680,2384,44.175028,-88.064403,Report received,91
Brookwood Middle School ,Genoa City J2,Combined Elementary/Secondary School,4,8,Public school,Regular,No,1020 Hunter's Ridge Dr  Genoa City WI  53128-2508,Walworth,2,71188,2051,200,20510200,5505130,2327,42.509999,-88.318903,Report received,91
Burdick Elementary ,Milwaukee,Elementary School,K3,8,Public school,Regular,No,4348 S Griffin Ave  Milwaukee WI  53207-5026,Milwaukee,1,4586,3619,98,36190098,5509600,1136,42.965596,-87.904015,Report received,91
Campbellsport Elementary ,Campbellsport,Elementary School,K4,5,Public school,Regular,No,751 Grandview Ave  Campbellsport WI  53010-0693,Fond du Lac,6,901,910,20,9100020,5502160,258,43.604289,-88.280452,Report received,91
Campbellsport Middle School ,Campbellsport,Middle School,6,8,Public school,Regular,No,114 W Sheboygan St  Campbellsport WI  53010-2791,Fond du Lac,6,71619,910,300,9100300,5502160,2484,43.601225,-88.287038,Report received,91
Chas F Fernandez Cntr Alt Lrng,Stevens Point Area Public,High School,9,12,Public school,Alternative,No,1025 Clark St  Stevens Point WI  54481,Portage,5,30970,5607,310,56070310,5514490,1116,44.52231,-89.58401,Report received,91
Chetek-Weyerhaeuser Roselawn,Chetek-Weyerhaeuser Area,Elementary School,K4,5,Public school,Regular,No,1201 6th St  Chetek WI  54728-8925,Barron,11,528,1080,100,10800100,5500061,2805,45.320055,-91.65636,Report received,91
Class ACT Charter,Chequamegon,High School,9,12,Public school,Vocational,Charter,400 9th St N  Park Falls WI  54552-1799,Price,12,454,1071,450,10710450,5500058,2780,45.945412,-90.452468,Report received,91
Clinton High School,Clinton Community,High School,9,12,Public school,Regular,No,112 Milwaukee Rd  Clinton WI  53525,Rock,2,6257,1134,60,11340060,5502640,296,42.558862,-88.858268,Report received,91
Colby Middle School ,Colby,Middle School,6,8,Public school,Regular,No,703 N 2nd St  Colby WI  54421,Clark,10,39539,1162,210,11620210,5502730,1226,44.946792,-90.554055,Report received,91
Core Knowledge Charter Sch,Verona Area,Elementary School,KG,8,Public school,Regular,Charter,740 N Main St  Verona WI  53593,Dane,2,30739,5901,70,59010070,5515330,1153,42.999246,-89.536254,Report received,91
Craig High School,Janesville,High School,9,12,Public school,Regular,No,401 S Randall Ave  Janesville WI  53545-4398,Rock,2,6576,2695,60,26950060,5507020,757,42.680843,-89.000232,Report received,91
Craig Montessori Sch,Milwaukee,Elementary School,K3,8,Public school,Regular,No,7667 W Congress St  Milwaukee WI  53218-5349,Milwaukee,1,30879,3619,501,36190501,5509600,1045,43.096724,-88.008343,Report received,91
Crestwood Elementary ,Antigo Unified,Elementary School,PK,5,Public school,Regular,No,W8464 County Road AA  Antigo WI  54409,Langlade,9,12389,140,80,1400080,5500360,38,45.160809,-89.093942,Report received,91
