SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"21st Century eSchool","Middleton-Cross Plains Area","Combined Elementary/Secondary School",KG,12,"Public school",Regular,Charter,"2429 Clark St  Middleton WI  53562-2619",Dane,2,00536,3549,800,35490800,5509510,02818,43.102187,-89.510092,1,range_interpolation,2429,"Clark St",Middleton,WI,"Dane County",53562,US,"TIGER/Line® dataset from the US Census Bureau"
"21st Century Prep Sch","21st Century Prep Sch","Elementary School",K4,8,"Non District Charter Schools",Regular,Charter,"1220 Mound Ave  Racine WI  53404",Racine,1,71863,8110,100,81100100,5500045,02575,42.729156,-87.796006,1,rooftop,1220,"Mound Ave",Racine,WI,"Racine County",53404,US,Statewide
"4K Center for Literacy","Kimberly Area","Elementary School",K4,0,"Public school",Regular,No,"614 E Kimberly Ave  Kimberly WI  54136-1513",Outagamie,6,01341,2835,150,28350150,5507470,03029,44.272697,-88.327856,1,rooftop,614,"E Kimberly Ave",Kimberly,WI,"Outagamie County",54136,US,Outagamie
"4K Community Sch","Burlington Area","Elementary School",K4,0,"Public school",Regular,No,"100 N Kane St  Burlington WI  53105-1896",Racine,2,00934,0777,150,07770150,5501890,02987,42.675922,-88.276608,1,range_interpolation,100,"N Kane St",Burlington,WI,"Racine County",53105,US,"TIGER/Line® dataset from the US Census Bureau"
"4K Community-Based",Reedsburg,"Elementary School",K4,0,"Public school",Regular,No,"401 Alexander Ave  Reedsburg WI  53959-1592",Sauk,5,00702,4753,150,47530150,5512660,02889,43.529405,-90.024827,1,rooftop,401,"Alexander Ave",Reedsburg,WI,"Sauk County",53959,US,Sauk
"4K McFarland",McFarland,"Elementary School",K4,0,"Public school",Regular,No,"6009 Johnson St  McFarland WI  53558",Dane,2,00725,3381,150,33810150,5508910,02902,43.011247,-89.288282,1,rooftop,6009,"Johnson St","Mc Farland",WI,"Dane County",53558,US,Dane
"4K PK Off Site","Madison Metropolitan","Elementary School",K4,0,"Public school",Regular,No,"545 W Dayton St  Madison WI  53703",Dane,2,71291,3269,190,32690190,5508520,02475,43.070381,-89.395001,1,rooftop,545,"W Dayton St",Madison,WI,"Dane County",53703,US,Dane
"7 Rivers Community Hi","La Crosse","High School",9,12,"Public school",Regular,Charter,"Hogan Administrative Center 807 East Ave S La Crosse WI  54601","La Crosse",4,00880,2849,440,28490440,5507530,02950,43.806197,-91.140529,1,place,,,"La Crosse",WI,"La Crosse County",54601,US,"TIGER/Line® dataset from the US Census Bureau"
"Abbotsford El",Abbotsford,"Elementary School",K4,5,"Public school",Regular,No,"510 W Hemlock St  Abbotsford WI  54405",Clark,10,12331,0007,20,00070020,5500030,00001,44.949491,-90.331929,1,rooftop,510,"W Hemlock St",Abbotsford,WI,"Clark County",54405,US,Statewide
"Abbotsford Mid/Sr Hi",Abbotsford,"High School",6,12,"Public school",Regular,No,"307 N 4th Ave  Abbotsford WI  54405",Clark,10,12332,0007,40,00070040,5500030,00002,44.949198,-90.329379,1,rooftop,307,"N 4th Ave",Abbotsford,WI,"Clark County",54405,US,Statewide
"Abraham Lincoln El",Monroe,"Elementary School",K4,5,"Public school",Regular,No,"2625 14th Ave  Monroe WI  53566-3373",Green,2,07049,3682,10,36820010,5509840,02771,42.586977,-89.642618,1,rooftop,2625,"14th Ave",Monroe,WI,"Green County",53566,US,Green
"Abrams El","Oconto Falls Public","Elementary School",K4,5,"Public school",Regular,No,"3000 Elm St  Abrams WI  54101",Oconto,8,10398,4074,20,40740020,5510950,01431,44.782709,-88.055506,1,rooftop,3000,"Elm St",Abrams,WI,"Oconto County",54101,US,Statewide
"Acad of Accelerated Learning",Milwaukee,"Elementary School",K3,5,"Public school",Regular,No,"3727 S 78th St  Milwaukee WI  53220-1603",Milwaukee,1,05285,3619,316,36190316,5509600,01239,42.976024,-88.011543,1,rooftop,3727,"S 78th St",Milwaukee,WI,"Milwaukee County",53220,US,"City of Milwaukee"
"ACE Charter Sch","Neenah Joint","Elementary School",KG,5,"Public school",Regular,Charter,"215 E Forest Ave  Neenah WI  54956-2765",Winnebago,6,72844,3892,125,38920125,5510320,03366,44.190084,-88.454026,1,rooftop,215,"E Forest Ave",Neenah,WI,"Winnebago County",54956,US,Winnebago
"Adams El",Janesville,"Elementary School",K4,5,"Public school",Regular,No,"1138 E Memorial Dr  Janesville WI  53545-1800",Rock,2,06575,2695,20,26950020,5507020,00756,42.692722,-89.011024,1,rooftop,1138,"E Memorial Dr",Janesville,WI,"Rock County",53545,US,Rock
"Adams-Friendship El","Adams-Friendship Area","Elementary School",K4,4,"Public school",Regular,No,"500 N Pierce St  Adams WI  53910",Adams,5,09301,0014,130,00140130,5500060,01433,43.964934,-89.811332,1,rooftop,500,"N Pierce St",Adams,WI,"Adams County",53910,US,Adams
"Adams-Friendship Hi","Adams-Friendship Area","High School",9,12,"Public school",Regular,No,"1109 E North St  Adams WI  53910",Adams,5,09299,0014,40,00140040,5500060,00005,43.965989,-89.802263,1,rooftop,1109,"E North St",Adams,WI,"Adams County",53910,US,Statewide
"Adams-Friendship Mid","Adams-Friendship Area","Middle School",5,8,"Public school",Regular,No,"420 N Main St  Adams WI  53910",Adams,5,09300,0014,210,00140210,5500060,01454,43.963544,-89.817519,1,rooftop,420,"N Main St",Adams,WI,"Adams County",53910,US,Adams
"Addison El",Slinger,"Elementary School",K4,5,"Public school",Regular,No,"5050 Indian Rd  Hartford WI  53027",Washington,6,71851,5390,100,53900100,5513950,02540,43.375351,-88.298077,1,rooftop,5050,"Indian Dr",Hartford,WI,"Washington County",53027,US,Washington
"Advanced Learning Acad of WI","Barron Area","Combined Elementary/Secondary School",KG,12,"Public school",Regular,Charter,"Barron High 1050 E Woodland Ave Barron WI  54812-1052",Barron,11,00652,0308,810,03080810,5500870,02864,45.40135,-91.84906,1,place,,,Barron,WI,"Barron County",54812,US,"TIGER/Line® dataset from the US Census Bureau"
"Al Behrman El",Baraboo,"Elementary School",PK,5,"Public school",Regular,No,"400 Mulberry St  Baraboo WI  53913-3012",Sauk,5,09319,0280,180,02800180,5500810,00109,43.458286,-89.738499,1,rooftop,400,"Mulberry St",Baraboo,WI,"Sauk County",53913,US,Sauk
ALBA,Milwaukee,"Elementary School",K3,5,"Public school",Regular,Charter,"1712 S 32nd St  Milwaukee WI  53215-2104",Milwaukee,1,72846,3619,162,36190162,5509600,03371,43.011558,-87.953331,1,rooftop,1712,"S 32nd St",Milwaukee,WI,"Milwaukee County",53215,US,"City of Milwaukee"
"Albany Community Mid",Albany,"Middle School",6,8,"Public school",Regular,No,"400 5th St  Albany WI  53502-9504",Green,2,05924,0063,60,00630060,5500120,02357,42.707279,-89.434039,1,rooftop,400,"5th St",Albany,WI,"Green County",53502,US,Statewide
"Albany El",Albany,"Elementary School",K4,5,"Public school",Regular,No,"400 5th St  Albany WI  53502-9504",Green,2,05922,0063,20,00630020,5500120,00013,42.707279,-89.434039,1,rooftop,400,"5th St",Albany,WI,"Green County",53502,US,Statewide
"Albany Hi",Albany,"High School",9,12,"Public school",Regular,No,"400 5th St  Albany WI  53502-9504",Green,2,05923,0063,40,00630040,5500120,00014,42.707279,-89.434039,1,rooftop,400,"5th St",Albany,WI,"Green County",53502,US,Statewide
"Alcott El",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"3563 S 97th St  Milwaukee WI  53228-1416",Milwaukee,1,05599,3619,75,36190075,5509600,01121,42.979106,-88.035207,1,rooftop,3563,"S 97th St",Milwaukee,WI,"Milwaukee County",53228,US,"City of Milwaukee"
"Aldo Leopold Comm Sch K-8","Green Bay Area Public","Combined Elementary/Secondary School",K4,8,"Public school",Regular,No,"622 Eliza St  Green Bay WI  54301-3229",Brown,7,11772,2289,20,22890020,5505820,00610,44.500378,-88.017785,1,rooftop,622,"Eliza St","Green Bay",WI,"Brown County",54301,US,Brown
"Aldrich Intermediate",Beloit,"Combined Elementary/Secondary School",4,8,"Public school",Regular,No,"1859 Northgate Dr  Beloit WI  53511-2699",Rock,2,06033,0413,20,04130020,5501050,00137,42.535266,-89.013053,1,rooftop,1859,"Northgate Dr",Beloit,WI,"Rock County",53511,US,Rock
"Alexander Mid",Nekoosa,"Combined Elementary/Secondary School",4,8,"Public school",Regular,No,"540 Birch St  Nekoosa WI  54457-1318",Wood,5,12968,3906,20,39060020,5510380,01358,44.309455,-89.916479,1,rooftop,540,"Birch St",Nekoosa,WI,"Wood County",54457,US,Wood
"Algoma El",Algoma,"Elementary School",K4,6,"Public school",Regular,No,"514 Fremont St  Algoma WI  54201-1395",Kewaunee,7,11283,0070,20,00700020,5500150,00015,44.606585,-87.439932,1,range_interpolation,514,"Fremont St",Algoma,WI,"Kewaunee County",54201,US,"TIGER/Line® dataset from the US Census Bureau"
"Algoma Hi",Algoma,"High School",7,12,"Public school",Regular,No,"1715 Division St  Algoma WI  54201-1498",Kewaunee,7,11284,0070,40,00700040,5500150,00016,44.599594,-87.444206,1,range_interpolation,1715,"Division St",Algoma,WI,"Kewaunee County",54201,US,"TIGER/Line® dataset from the US Census Bureau"
"All Dist 4 Yr Old Kindergarten","Racine Unified","Elementary School",K4,0,"Public school",Regular,No,"2015 Franklin St  Racine WI  53403-2634",Racine,1,00207,4620,113,46200113,5512360,02657,42.705576,-87.789972,1,rooftop,2015,"Franklin St",Racine,WI,"Racine County",53403,US,Statewide
"Allen-Field El",Milwaukee,"Elementary School",K3,5,"Public school",Regular,No,"730 W Lapham Blvd  Milwaukee WI  53204-3428",Milwaukee,1,04487,3619,73,36190073,5509600,01122,43.015111,-87.920394,1,rooftop,730,"W Lapham Bl",Milwaukee,WI,"Milwaukee County",53204,US,"City of Milwaukee"
"Allenton El",Slinger,"Elementary School",K4,5,"Public school",Regular,No,"228 Weis St  Allenton WI  53002-9570",Washington,6,00825,5390,10,53900010,5513950,01818,43.416429,-88.335629,1,rooftop,228,"Weis St",Allenton,WI,"Washington County",53002,US,Washington
"Alliance Sch of Milw",Milwaukee,"High School",9,12,"Public school",Regular,Charter,"850 W Walnut St  Milwaukee WI  53205",Milwaukee,1,00089,3619,413,36190413,5509600,02603,43.053795,-87.92147,1,rooftop,850,"W Walnut St",Milwaukee,WI,"Milwaukee County",53205,US,"City of Milwaukee"
"Allis El","Madison Metropolitan","Elementary School",K4,5,"Public school",Regular,No,"4201 Buckeye Rd  Madison WI  53716-1648",Dane,2,08628,3269,225,32690225,5508520,00929,43.076807,-89.320972,1,rooftop,4201,"Buckeye Rd",Madison,WI,"Dane County",53716,US,Dane
"Alma El",Alma,"Elementary School",K4,8,"Public school",Regular,No,"S1618 State Road 35  Alma WI  54610-8301",Buffalo,4,14406,0084,20,00840020,5500180,00017,44.375506,-91.959148,1,street_center,,"State Hwy 35",Alma,WI,"Buffalo County",54610,US,"TIGER/Line® dataset from the US Census Bureau"
"Alma Hi",Alma,"High School",9,12,"Public school",Regular,No,"S1618 State Road 35  Alma WI  54610-8301",Buffalo,4,14407,0084,40,00840040,5500180,00018,44.375506,-91.959148,1,street_center,,"State Hwy 35",Alma,WI,"Buffalo County",54610,US,"TIGER/Line® dataset from the US Census Bureau"
"Almena El","Barron Area","Elementary School",KG,4,"Public school",Regular,No,"230 Lulu Ave  Almena WI  54805",Barron,11,16201,0308,20,03080020,5500870,00113,45.416493,-92.033573,0.9,rooftop,230,"Lulu Ave E",Almena,WI,"Barron County",54805,US,Statewide
"Almond-Bancroft El",Almond-Bancroft,"Elementary School",K4,5,"Public school",Regular,No,"1336 Elm St  Almond WI  54909",Portage,5,17313,0105,20,01050020,5500240,00023,44.260442,-89.412962,1,rooftop,1336,"Elm St",Almond,WI,"Portage County",54909,US,Portage
"Almond-Bancroft Hi",Almond-Bancroft,"High School",9,12,"Public school",Regular,No,"1336 Elm St  Almond WI  54909",Portage,5,17314,0105,40,01050040,5500240,00024,44.260442,-89.412962,1,rooftop,1336,"Elm St",Almond,WI,"Portage County",54909,US,Portage
"Almond-Bancroft Mid",Almond-Bancroft,"Middle School",6,8,"Public school",Regular,No,"1336 Elm St  Almond WI  54909",Portage,5,01576,0105,250,01050250,5500240,03076,44.260442,-89.412962,1,rooftop,1336,"Elm St",Almond,WI,"Portage County",54909,US,Portage
ALPS,"Oshkosh Area","Combined Elementary/Secondary School",4,8,"Public school",Regular,Charter,"325 S Eagle St  Oshkosh WI  54902",Winnebago,6,72836,4179,170,41790170,5511190,03364,44.014885,-88.573229,1,rooftop,325,"S Eagle St",Oshkosh,WI,"Winnebago County",54902,US,Winnebago
"Altoona El",Altoona,"Elementary School",K4,3,"Public school",Regular,No,"157 Bartlett Ave  Altoona WI  54720-2361","Eau Claire",10,15356,0112,80,01120080,5500270,00028,44.803599,-91.422817,1,range_interpolation,157,"Bartlett Ave",Altoona,WI,"Eau Claire County",54720,US,"TIGER/Line® dataset from the US Census Bureau"
"Altoona Hi",Altoona,"High School",9,12,"Public school",Regular,No,"711 7th St W  Altoona WI  54720-1584","Eau Claire",10,15354,0112,40,01120040,5500270,00026,44.802099,-91.442696,1,rooftop,711,"7th St W",Altoona,WI,"Eau Claire County",54720,US,Statewide
"Altoona Intermediate",Altoona,"Elementary School",4,5,"Public school",Regular,No,"1903 Bartlett Ave  Altoona WI  54720-1799","Eau Claire",10,00783,0112,100,01120100,5500270,02925,44.803597,-91.440592,1,rooftop,1903,"Bartlett Ave",Altoona,WI,"Eau Claire County",54720,US,Statewide
"Altoona Mid",Altoona,"Middle School",6,8,"Public school",Regular,No,"1903 Bartlett Ave  Altoona WI  54720-1799","Eau Claire",10,15355,0112,60,01120060,5500270,00027,44.803597,-91.440592,1,rooftop,1903,"Bartlett Ave",Altoona,WI,"Eau Claire County",54720,US,Statewide
"Amery Hi",Amery,"High School",9,12,"Public school",Regular,No,"555 Minneapolis Ave S  Amery WI  54001-1598",Polk,11,09979,0119,40,01190040,5500300,00030,45.291967,-92.352411,1,range_interpolation,555,"Minneapolis Ave S",Amery,WI,"Polk County",54001,US,"TIGER/Line® dataset from the US Census Bureau"
"Amery Intermediate",Amery,"Elementary School",3,5,"Public school",Regular,No,"543 Minneapolis Ave S  Amery WI  54001-1522",Polk,11,09980,0119,50,01190050,5500300,00075,45.291938,-92.352483,1,range_interpolation,543,"Minneapolis Ave S",Amery,WI,"Polk County",54001,US,"TIGER/Line® dataset from the US Census Bureau"
"Amery Mid",Amery,"Middle School",6,8,"Public school",Regular,No,"501 Minneapolis Ave S  Amery WI  54001-1565",Polk,11,09981,0119,60,01190060,5500300,00031,45.286253,-92.352499,1,range_interpolation,501,"Minneapolis Ave S",Amery,WI,"Polk County",54001,US,"TIGER/Line® dataset from the US Census Bureau"
"Amherst El","Tomorrow River","Elementary School",K4,4,"Public school",Regular,No,"357 N Main St  Amherst WI  54406-9102",Portage,5,12354,0126,20,01260020,5500330,00032,44.454953,-89.284667,1,range_interpolation,357,"N Main St",Amherst,WI,"Portage County",54406,US,"TIGER/Line® dataset from the US Census Bureau"
"Amherst Hi","Tomorrow River","High School",9,12,"Public school",Regular,No,"357 N Main St  Amherst WI  54406-9102",Portage,5,12355,0126,60,01260060,5500330,00033,44.454953,-89.284667,1,range_interpolation,357,"N Main St",Amherst,WI,"Portage County",54406,US,"TIGER/Line® dataset from the US Census Bureau"
"Amherst Mid","Tomorrow River","Middle School",5,8,"Public school",Regular,No,"357 N Main St  Amherst WI  54406-9102",Portage,5,12356,0126,80,01260080,5500330,00034,44.454953,-89.284667,1,range_interpolation,357,"N Main St",Amherst,WI,"Portage County",54406,US,"TIGER/Line® dataset from the US Census Bureau"
"Amy Belle El",Germantown,"Elementary School",PK,5,"Public school",Regular,No,"3294 Willow Creek Rd  Colgate WI  53017-9534",Washington,1,01059,2058,20,20580020,5505160,00549,43.20793,-88.201421,1,rooftop,3294,"Willow Creek Rd",Colgate,WI,"Washington County",53017,US,Washington
"Andrew Douglas Sch",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"1618 W Keefe Ave  Milwaukee WI  53206-2359",Milwaukee,1,01554,3619,124,36190124,5509600,03056,43.082659,-87.931578,1,rooftop,1618,"W Keefe Ave",Milwaukee,WI,"Milwaukee County",53206,US,"City of Milwaukee"
"Antigo Hi","Antigo Unified","High School",9,12,"Public school",Regular,No,"1900 10th Ave  Antigo WI  54409-1015",Langlade,9,12388,0140,70,01400070,5500360,00037,45.132983,-89.176889,1,range_interpolation,1900,"10th Ave",Antigo,WI,"Langlade County",54409,US,"TIGER/Line® dataset from the US Census Bureau"
"Antigo Mid","Antigo Unified","Middle School",6,8,"Public school",Regular,No,"815 7th Ave  Antigo WI  54409-1897",Langlade,9,12387,0140,50,01400050,5500360,00036,45.136928,-89.155364,1,rooftop,815,"7th Ave",Antigo,WI,"Langlade County",54409,US,Statewide
"Appleton Bilingual Sch","Appleton Area","Elementary School",KG,6,"Public school",Regular,Charter,"913 N Oneida St  Appleton WI  54911",Outagamie,6,00649,0147,155,01470155,5500390,02880,44.270061,-88.406598,1,rooftop,913,"N Oneida St",Appleton,WI,"Outagamie County",54911,US,Outagamie
"Appleton Community 4K","Appleton Area","Elementary School",K4,0,"Public school",Regular,No,"122 E College Ave Suite 1A  Appleton WI  54911",Outagamie,6,00792,0147,165,01470165,5500390,02976,44.26209,-88.404645,1,rooftop,122,"E College Ave",Appleton,WI,"Outagamie County",54911,US,Outagamie
"Appleton Cooperative Educ Ctr","Appleton Area","Combined Elementary/Secondary School",4,12,"Public school",Alternative,No,"320 S Walnut St  Appleton WI  54911",Outagamie,6,00241,0147,800,01470800,5500390,02679,44.259177,-88.410886,1,rooftop,320,"S Walnut St",Appleton,WI,"Outagamie County",54911,US,Outagamie
"Appleton eSchool","Appleton Area","High School",7,12,"Public school",Regular,Charter,"2121 Emmers Dr  Appleton WI  54915-3802",Outagamie,6,71976,0147,440,01470440,5500390,02549,44.248174,-88.373554,0.9,rooftop,2121,"E Emmers Dr",Appleton,WI,"Outagamie County",54915,US,Outagamie
"Appleton Public Montessori","Appleton Area","Elementary School",K4,6,"Public school",Regular,Charter,"1545 E Broadway Dr  Grand Chute WI  54915",Outagamie,6,00063,0147,145,01470145,5500390,02583,44.325835,-88.380881,0.8,rooftop,1545,"E Broadway Dr",Appleton,WI,"Outagamie County",54913,US,Outagamie
"Appleton Technical Acad","Appleton Area","High School",9,12,"Public school",Vocational,Charter,"610 N Badger Ave  Appleton WI  54914-4198",Outagamie,6,00878,0147,490,01470490,5500390,02964,44.268587,-88.4285,1,rooftop,610,"N Badger Ave",Appleton,WI,"Outagamie County",54914,US,Outagamie
Appleview,"Appleton Area","Combined Elementary/Secondary School",K4,12,"Public school","Special Education",No,"120 E Harris St  Appleton WI  54911-5403",Outagamie,6,01021,0147,820,01470820,5500390,03021,44.265261,-88.40513,1,rooftop,120,"E Harris St",Appleton,WI,"Outagamie County",54911,US,Outagamie
"Arbor Vitae-Woodruff El","Woodruff J1","Elementary School",K4,8,"Public school",Regular,No,"11065 Old Highway 51 N  Arbor Vitae WI  54568-9721",Vilas,9,14101,6720,20,67200020,5517160,02227,45.927058,-89.692271,1,rooftop,11065,"N Old Hwy 51st Rd",Woodruff,WI,"Vilas County",54568,US,Vilas
"Arboretum El","Waunakee Community","Elementary School",PK,4,"Public school",Regular,No,"1350 Arboretum Dr  Waunakee WI  53597",Dane,2,00171,6181,110,61810110,5515810,02648,43.176449,-89.417923,1,rooftop,1350,"Arboretum Dr",Waunakee,WI,"Dane County",53597,US,Dane
"Arcadia El",Arcadia,"Elementary School",K4,4,"Public school",Regular,No,"358 E River St  Arcadia WI  54612-1344",Trempealeau,4,01493,0154,190,01540190,5500420,03040,44.252674,-91.495295,1,rooftop,358,"E River St",Arcadia,WI,"Trempealeau County",54612,US,Statewide
"Arcadia Hi",Arcadia,"High School",9,12,"Public school",Regular,No,"756 Raider Dr  Arcadia WI  54612-9025",Trempealeau,4,14431,0154,40,01540040,5500420,00068,44.24193,-91.487426,1,rooftop,756,"Raider Dr",Arcadia,WI,"Trempealeau County",54612,US,Trempealeau
"Arcadia Mid",Arcadia,"Middle School",5,8,"Public school",Regular,No,"725 Fairfield Ave  Arcadia WI  54612-1908",Trempealeau,4,01494,0154,290,01540290,5500420,03041,44.242618,-91.485831,1,rooftop,725,"Fairfield Ave",Arcadia,WI,"Trempealeau County",54612,US,Trempealeau
"Argyle El",Argyle,"Elementary School",K4,5,"Public school",Regular,No,"14665 State Road 78  Argyle WI  53504",Lafayette,3,05952,0161,20,01610020,5500450,00069,42.707353,-89.868137,0.9,rooftop,14665,"Sth 78",Argyle,WI,"Lafayette County",53504,US,Statewide
"Argyle Hi",Argyle,"High School",9,12,"Public school",Regular,No,"14665 State Road 78  Argyle WI  53504",Lafayette,3,05953,0161,40,01610040,5500450,00070,42.707353,-89.868137,0.9,rooftop,14665,"Sth 78",Argyle,WI,"Lafayette County",53504,US,Statewide
"Argyle Mid",Argyle,"Middle School",6,8,"Public school",Regular,No,"14665 State Road 78  Argyle WI  53504",Lafayette,3,01578,0161,250,01610250,5500450,03073,42.707353,-89.868137,0.9,rooftop,14665,"Sth 78",Argyle,WI,"Lafayette County",53504,US,Statewide
"ARISE Virtual Acad",Janesville,"Combined Elementary/Secondary School",KG,12,"Public school",Regular,Charter,"450 N Crosby Ave  Janesville WI  53548-3340",Rock,2,00925,2695,860,26950860,5507020,02991,42.685172,-89.05035,1,rooftop,450,"N Crosby Ave",Janesville,WI,"Rock County",53548,US,Rock
"Arlington El",Poynette,"Elementary School",PK,0,"Public school",Regular,No,"307 Bullen Rd  Arlington WI  53911",Columbia,5,09311,4536,20,45360020,5512120,01577,43.339512,-89.382103,1,rooftop,307,"Bullen Rd",Arlington,WI,"Columbia County",53911,US,Columbia
"Arrowhead Hi","Arrowhead UHS","High School",9,12,"Public school",Regular,No,"700 North Ave  Hartland WI  53029-1143",Waukesha,1,01302,2450,20,24500020,5506180,00678,43.113551,-88.34697,1,rooftop,700,"North Ave",Hartland,WI,"Waukesha County",53029,US,Waukesha
"Asa Clark Mid",Pewaukee,"Middle School",7,8,"Public school",Regular,No,"472 Lake St  Pewaukee WI  53072-3630",Waukesha,1,01889,4312,100,43120100,5511640,01538,43.073882,-88.260942,1,rooftop,472,"Lake St",Pewaukee,WI,"Waukesha County",53072,US,Waukesha
"Ashland Hi",Ashland,"High School",9,12,"Public school",Regular,No,"1900 Beaser Ave  Ashland WI  54806-3603",Ashland,12,16205,0170,20,01700020,5500510,00073,46.571169,-90.883957,1,rooftop,1900,"Beaser Ave",Ashland,WI,"Ashland County",54806,US,Statewide
"Ashland Mid",Ashland,"Middle School",6,8,"Public school",Regular,No,"203 11th St E  Ashland WI  54806-3245",Ashland,12,16206,0170,30,01700030,5500510,00074,46.584969,-90.875017,1,rooftop,203,"11th St E",Ashland,WI,"Ashland County",54806,US,Statewide
"Ashwaubenon Hi",Ashwaubenon,"High School",9,12,"Public school",Regular,No,"2391 S Ridge Rd  Green Bay WI  54304-5093",Brown,7,11954,0182,20,01820020,5500540,00081,44.489083,-88.074337,1,rooftop,2391,"S Ridge Rd","Green Bay",WI,"Brown County",54304,US,Brown
ASSATA,Milwaukee,"High School",9,12,"Public school",Alternative,No,"3517 W Courtland Ave  Milwaukee WI  53209-5919",Milwaukee,1,30923,3619,1063,36191063,5509600,00792,43.102097,-87.957303,1,rooftop,3517,"W Courtland Ave",Milwaukee,WI,"Milwaukee County",53209,US,"City of Milwaukee"
"Athens El",Athens,"Elementary School",K4,5,"Public school",Regular,No,"209 N Schlegel St  Athens WI  54411",Marathon,9,12441,0196,20,01960020,5500570,00086,45.034706,-90.07804,1,rooftop,209,"Schlegel St",Athens,WI,"Marathon County",54411,US,Marathon
"Athens Hi",Athens,"High School",9,12,"Public school",Regular,No,"601 W Village Limits Rd  Athens WI  54411-9552",Marathon,9,12442,0196,40,01960040,5500570,00087,45.030015,-90.085687,1,rooftop,601,"W Village Limits Rd",Athens,WI,"Marathon County",54411,US,Statewide
"Athens Mid",Athens,"Middle School",6,8,"Public school",Regular,No,"601 W Village Limits Rd  Athens WI  54411-9552",Marathon,9,12443,0196,60,01960060,5500570,00088,45.030015,-90.085687,1,rooftop,601,"W Village Limits Rd",Athens,WI,"Marathon County",54411,US,Statewide
"Atwater El",Shorewood,"Elementary School",K4,6,"Public school",Regular,No,"2100 E Capitol Dr  Shorewood WI  53211-2198",Milwaukee,1,04813,5355,20,53550020,5513800,01809,43.090444,-87.883761,1,rooftop,2100,"E Capitol Dr",Milwaukee,WI,"Milwaukee County",53211,US,"City of Shorewood"
"Auburndale El",Auburndale,"Elementary School",K4,5,"Public school",Regular,No,"10564 School Ave  Auburndale WI  54412",Wood,5,12467,0203,40,02030040,5500600,00090,44.629163,-90.011085,1,rooftop,10564,"School Ave",Auburndale,WI,"Wood County",54412,US,Wood
"Auburndale Hi",Auburndale,"High School",6,12,"Public school",Regular,No,"10629 North Rd  Auburndale WI  54412",Wood,5,12468,0203,60,02030060,5500600,00091,44.631432,-90.006519,1,rooftop,10629,"North Rd",Auburndale,WI,"Wood County",54412,US,Wood
"Audubon Hi",Milwaukee,"High School",9,12,"Public school",Regular,No,"3300 S 39th St  Milwaukee WI  53215-4019",Milwaukee,1,00401,3619,434,36190434,5509600,02782,42.983914,-87.96178,1,rooftop,3300,"S 39th St",Milwaukee,WI,"Milwaukee County",53215,US,"City of Milwaukee"
"Audubon Mid",Milwaukee,"Middle School",6,8,"Public school",Regular,No,"3300 S 39th St  Milwaukee WI  53215-4019",Milwaukee,1,05041,3619,41,36190041,5509600,01123,42.983914,-87.96178,1,rooftop,3300,"S 39th St",Milwaukee,WI,"Milwaukee County",53215,US,"City of Milwaukee"
"Auer Avenue El",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"2319 W Auer Ave  Milwaukee WI  53206-1735",Milwaukee,1,04559,3619,77,36190077,5509600,01124,43.076582,-87.941627,1,rooftop,2319,"W Auer Ave",Milwaukee,WI,"Milwaukee County",53206,US,"City of Milwaukee"
"Augusta El",Augusta,"Elementary School",K4,5,"Public school",Regular,No,"E19320 Bartig Rd  Augusta WI  54722-7501","Eau Claire",10,15386,0217,20,02170020,5500630,00092,44.726811,-91.212598,1,place,,,Augusta,WI,"Eau Claire County",54722,US,"TIGER/Line® dataset from the US Census Bureau"
"Augusta Hi",Augusta,"High School",9,12,"Public school",Regular,No,"E19320 Bartig Rd  Augusta WI  54722-7501","Eau Claire",10,15387,0217,40,02170040,5500630,00093,44.726811,-91.212598,1,place,,,Augusta,WI,"Eau Claire County",54722,US,"TIGER/Line® dataset from the US Census Bureau"
"Augusta Mid",Augusta,"Middle School",6,8,"Public school",Regular,No,"E19320 Bartig Rd  Augusta WI  54722-7501","Eau Claire",10,00067,0217,200,02170200,5500630,02585,44.726811,-91.212598,1,place,,,Augusta,WI,"Eau Claire County",54722,US,"TIGER/Line® dataset from the US Census Bureau"
"BA Kennedy Sch","Prairie du Chien Area","Elementary School",K4,1,"Public school",Regular,No,"420 Wacouta Ave  Prairie du Chien WI  53821-1924",Crawford,3,71484,4543,10,45430010,5512150,02508,43.0475,-91.144825,0.9,range_interpolation,420,"S Wacouta Ave","Prairie Du Chien",WI,"Crawford County",53821,US,"TIGER/Line® dataset from the US Census Bureau"
"Badger El","Appleton Area","Elementary School",PK,6,"Public school",Regular,No,"501 S Bluemound Dr  Appleton WI  54914-4134",Outagamie,6,17331,0147,60,01470060,5500390,00049,44.258378,-88.456348,1,rooftop,501,"S Bluemound Dr",Appleton,WI,"Outagamie County",54914,US,Outagamie
