SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Cornell Mid",Cornell,"Middle School",6,8,"Public school",Regular,No,"708 Bridge St  Cornell WI  54732",Chippewa,10,00709,1204,300,12040300,5502880,02896,45.165066,-91.142526,0.9,range_interpolation,708,"Bridge St",Cornell,WI,"Chippewa County",54732,US,"TIGER/Line® dataset from the US Census Bureau"
"Cottage Grove El","Monona Grove","Elementary School",2,4,"Public school",Regular,No,"470 N Main St  Cottage Grove WI  53527-9637",Dane,2,06284,3675,20,36750020,5509810,01289,43.084665,-89.196643,1,rooftop,470,"N Main St","Cottage Grove",WI,"Dane County",53527,US,Dane
"Coulee Montessori Charter Sch","La Crosse","Elementary School",K4,8,"Public school",Regular,Charter,"1611 Kane St  La Crosse WI  54601","La Crosse",4,48832,2849,140,28490140,5507530,01463,43.847485,-91.241446,0.9,rooftop,1611,"Kane St","La Crosse",WI,"La Crosse County",54603,US,"La Crosse"
"Country Dale El","Franklin Public","Elementary School",PK,6,"Public school",Regular,No,"7380 S North Cape Rd  Franklin WI  53132-1651",Milwaukee,1,03011,1900,40,19000040,5504830,00520,42.909818,-88.061256,1,rooftop,7380,"S North Cape Rd",Franklin,WI,"Milwaukee County",53132,US,Milwaukee
"Country View El","Verona Area","Elementary School",KG,5,"Public school",Regular,No,"710 Lone Pine Way  Verona WI  53593",Dane,2,07579,5901,90,59010090,5515330,00242,43.004873,-89.544026,1,rooftop,710,"Lone Pine Way",Verona,WI,"Dane County",53593,US,Dane
"County Line El",Germantown,"Elementary School",PK,5,"Public school",Regular,No,"W159N9939 Butternut Rd  Germantown WI  53022-5199",Washington,1,01143,2058,40,20580040,5505160,00550,43.197942,-88.107519,1,rooftop,W159N9939,"Butternut Rd",Germantown,WI,"Washington County",53022,US,Waukesha
"Craig Hi",Janesville,"High School",9,12,"Public school",Regular,No,"401 S Randall Ave  Janesville WI  53545-4398",Rock,2,06576,2695,60,26950060,5507020,00757,42.680843,-89.000232,1,rooftop,401,"S Randall Ave",Janesville,WI,"Rock County",53545,US,Rock
"Craig Montessori Sch",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"7667 W Congress St  Milwaukee WI  53218-5349",Milwaukee,1,30879,3619,501,36190501,5509600,01045,43.096724,-88.008343,1,rooftop,7667,"W Congress St",Milwaukee,WI,"Milwaukee County",53218,US,"City of Milwaukee"
"Crandon El",Crandon,"Elementary School",K4,5,"Public school",Regular,No,"9750 US Highway 8 W  Crandon WI  54520-8924",Forest,8,13688,1218,40,12180040,5502910,00326,45.567893,-88.850528,1,range_interpolation,9750,"Us Hwy 8",Crandon,WI,"Forest County",54520,US,"TIGER/Line® dataset from the US Census Bureau"
"Crandon Hi",Crandon,"High School",9,12,"Public school",Regular,No,"9750 US Highway 8 W  Crandon WI  54520-8924",Forest,8,13689,1218,60,12180060,5502910,00327,45.567893,-88.850528,1,range_interpolation,9750,"Us Hwy 8",Crandon,WI,"Forest County",54520,US,"TIGER/Line® dataset from the US Census Bureau"
"Crandon Mid",Crandon,"Middle School",6,8,"Public school",Regular,No,"9750 US Highway 8 W  Crandon WI  54520-8924",Forest,8,13687,1218,22,12180022,5502910,02388,45.567893,-88.850528,1,range_interpolation,9750,"Us Hwy 8",Crandon,WI,"Forest County",54520,US,"TIGER/Line® dataset from the US Census Bureau"
"Creative Minds","Minocqua J1","Elementary School",3,5,"Public school",Regular,Charter,"7450 Titus Dr  Minocqua WI  54548-9139",Oneida,9,00723,3640,100,36400100,5509690,02873,45.823175,-89.714081,1,rooftop,7450,"Titus Dr",Minocqua,WI,"Oneida County",54548,US,Statewide
"Creekside El","Sun Prairie Area","Elementary School",PK,5,"Public school",Regular,No,"1251 O'Keeffe Ave  Sun Prairie WI  53590",Dane,2,00376,5656,180,56560180,5514640,02756,43.165201,-89.254053,1,rooftop,1251,"O'keeffe Ave","Sun Prairie",WI,"Dane County",53590,US,Dane
"Crescent El",Rhinelander,"Elementary School",K4,3,"Public school",Regular,No,"3319 Boyce Dr  Rhinelander WI  54501-3800",Oneida,9,13572,4781,60,47810060,5512720,01675,45.625078,-89.435542,1,rooftop,3319,"Boyce Dr",Rhinelander,WI,"Oneida County",54501,US,Oneida
"Crestwood El","Antigo Unified","Elementary School",PK,5,"Public school",Regular,No,"W8464 County Road AA  Antigo WI  54409",Langlade,9,12389,0140,80,01400080,5500360,00038,45.160809,-89.093942,1,place,,,Antigo,WI,"Langlade County",54409,US,"TIGER/Line® dataset from the US Census Bureau"
"Crestwood El","Madison Metropolitan","Elementary School",K4,5,"Public school",Regular,No,"5930 Old Sauk Rd  Madison WI  53705-2599",Dane,2,07974,3269,105,32690105,5508520,00924,43.076365,-89.481814,1,rooftop,5930,"Old Sauk Rd",Madison,WI,"Dane County",53705,US,Dane
"Crivitz El",Crivitz,"Elementary School",K4,6,"Public school",Regular,No,"718 Hall Hay St  Crivitz WI  54114",Marinette,8,10483,1232,20,12320020,5502970,00329,45.235337,-88.006052,1,range_interpolation,718,"Hall Hay St",Crivitz,WI,"Marinette County",54114,US,"TIGER/Line® dataset from the US Census Bureau"
"Crivitz Hi",Crivitz,"High School",9,12,"Public school",Regular,No,"400 South Ave  Crivitz WI  54114",Marinette,8,10484,1232,40,12320040,5502970,00330,45.225505,-88.001098,1,rooftop,400,"South Ave",Crivitz,WI,"Marinette County",54114,US,Statewide
"Crivitz Mid",Crivitz,"Middle School",7,8,"Public school",Regular,No,"718 Hall Hay St  Crivitz WI  54114",Marinette,8,10485,1232,80,12320080,5502970,00331,45.235337,-88.006052,1,range_interpolation,718,"Hall Hay St",Crivitz,WI,"Marinette County",54114,US,"TIGER/Line® dataset from the US Census Bureau"
"Cuba City El","Cuba City","Elementary School",K4,5,"Public school",Regular,No,"518 W Roosevelt St  Cuba City WI  53807-1220",Grant,3,08806,1246,20,12460020,5503030,00332,42.609284,-90.436058,1,range_interpolation,518,"W Roosevelt St","Cuba City",WI,"Grant County",53807,US,"TIGER/Line® dataset from the US Census Bureau"
"Cuba City Hi","Cuba City","High School",9,12,"Public school",Regular,No,"101 N School St  Cuba City WI  53807-1221",Grant,3,08808,1246,40,12460040,5503030,00333,42.606612,-90.435756,1,range_interpolation,101,"N School St","Cuba City",WI,"Grant County",53807,US,"TIGER/Line® dataset from the US Census Bureau"
"Cuba City Mid","Cuba City","Middle School",6,8,"Public school",Regular,No,"101 N School St  Cuba City WI  53807-1221",Grant,3,08807,1246,30,12460030,5503030,00089,42.606612,-90.435756,1,range_interpolation,101,"N School St","Cuba City",WI,"Grant County",53807,US,"TIGER/Line® dataset from the US Census Bureau"
"Cudahy Hi",Cudahy,"High School",9,12,"Public school",Regular,No,"4950 S Lake Dr  Cudahy WI  53110-1700",Milwaukee,1,02674,1253,40,12530040,5503060,00336,42.95451,-87.848859,1,rooftop,4950,"S Lake Dr",Cudahy,WI,"Milwaukee County",53110,US,Milwaukee
"Cudahy Mid",Cudahy,"Middle School",6,8,"Public school",Regular,No,"5530 S Barland Ave  Cudahy WI  53110-2549",Milwaukee,1,02673,1253,22,12530022,5503060,02389,42.943781,-87.86882,1,rooftop,5530,"S Barland Ave",Cudahy,WI,"Milwaukee County",53110,US,Milwaukee
"Cumberland El",Cumberland,"Elementary School",K4,4,"Public school",Regular,No,"1530 2nd Ave  Cumberland WI  54829",Barron,11,16532,1260,40,12600040,5503090,00343,45.538011,-92.021312,1,rooftop,1530,"2nd Ave",Cumberland,WI,"Barron County",54829,US,Statewide
"Cumberland El","Whitefish Bay","Elementary School",K4,5,"Public school",Regular,No,"4780 N Marlborough Dr  Whitefish Bay WI  53211-1199",Milwaukee,1,04817,6419,20,64190020,5516620,02166,43.103019,-87.896552,1,rooftop,4780,"N Marlborough Dr",Milwaukee,WI,"Milwaukee County",53211,US,Milwaukee
"Cumberland Hi",Cumberland,"High School",9,12,"Public school",Regular,No,"1000 8th Ave  Cumberland WI  54829-9174",Barron,11,16534,1260,60,12600060,5503090,00344,45.528622,-92.031441,1,rooftop,1000,"8th Ave",Cumberland,WI,"Barron County",54829,US,Statewide
"Cumberland Mid",Cumberland,"Middle School",5,8,"Public school",Regular,No,"980 8th Ave  Cumberland WI  54829",Barron,11,16533,1260,50,12600050,5503090,00304,45.528219,-92.031448,1,rooftop,980,"8th Ave",Cumberland,WI,"Barron County",54829,US,Statewide
"Cunningham Intermediate",Beloit,"Combined Elementary/Secondary School",4,8,"Public school",Regular,No,"910 Townline Ave  Beloit WI  53511-4900",Rock,2,06036,0413,80,04130080,5501050,00140,42.508655,-89.062335,1,rooftop,910,"Townline Ave",Beloit,WI,"Rock County",53511,US,Rock
"Curtin El",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"3450 S 32nd St  Milwaukee WI  53215-4204",Milwaukee,1,05043,3619,122,36190122,5509600,01146,42.981864,-87.952839,1,rooftop,3450,"S 32nd St",Milwaukee,WI,"Milwaukee County",53215,US,"City of Milwaukee"
"Cushing El","Kettle Moraine","Elementary School",K4,5,"Public school",Regular,No,"227 N Genesee St  Delafield WI  53018",Waukesha,1,01074,1376,40,13760040,5503510,00374,43.057942,-88.404395,1,range_interpolation,227,"N Genesee St",Delafield,WI,"Waukesha County",53018,US,"TIGER/Line® dataset from the US Census Bureau"
"CWSA Central Wis STEM Acad",Nekoosa,"Elementary School",5,8,"Public school",Regular,Charter,"540 Birch St  Nekoosa WI  54457-1318",Wood,5,00884,3906,100,39060100,5510380,02957,44.309455,-89.916479,1,rooftop,540,"Birch St",Nekoosa,WI,"Wood County",54457,US,Wood
"D C Everest Hi","D C Everest Area","High School",10,12,"Public school",Regular,No,"6500 Alderson St  Weston WI  54476-3900",Marathon,9,13125,4970,35,49700035,5513170,01734,44.896884,-89.595571,1,rooftop,6500,"Alderson St",Schofield,WI,"Marathon County",54476,US,Marathon
"D C Everest Idea Sch","D C Everest Area","High School",6,12,"Public school",Regular,Charter,"4704 Camp Phillips Rd  Weston WI  54476-1573",Marathon,9,00672,4970,400,49700400,5513170,02885,44.91436,-89.573742,1,rooftop,4704,"Camp Phillips Rd",Schofield,WI,"Marathon County",54476,US,Marathon
"D C Everest Jr","D C Everest Area","Junior High School",8,9,"Public school",Regular,No,"1000 Machmueller St  Weston WI  54476-3898",Marathon,9,13124,4970,30,49700030,5513170,01735,44.899967,-89.604787,1,rooftop,1000,"Machmueller St",Schofield,WI,"Marathon County",54476,US,Marathon
"D C Everest Mid","D C Everest Area","Middle School",6,7,"Public school",Regular,No,"9302 Schofield Ave  Weston WI  54476-4604",Marathon,9,71845,4970,200,49700200,5513170,02534,44.900037,-89.508992,1,rooftop,9302,"Schofield Ave",Schofield,WI,"Marathon County",54476,US,Marathon
"Daniel Webster Secondary Sch",Milwaukee,"Combined Elementary/Secondary School",6,8,"Public school",Regular,No,"6850 N 53rd St  Milwaukee WI  53223-5239",Milwaukee,1,01527,3619,850,36190850,5509600,03053,43.143135,-87.976419,1,rooftop,6850,"N 53rd St",Milwaukee,WI,"Milwaukee County",53223,US,"City of Milwaukee"
"Daniels Univ Prep",Milwaukee,"Combined Elementary/Secondary School",K4,8,"Public school",Regular,Charter,"4834 N Mother Daniels Way  Milwaukee WI  53209-5981",Milwaukee,1,00680,3619,820,36190820,5509600,02870,43.105124,-87.955655,1,rooftop,4834,"N Mother Daniels Wa",Milwaukee,WI,"Milwaukee County",53209,US,"City of Milwaukee"
"Danz El","Green Bay Area Public","Elementary School",K4,5,"Public school",Regular,No,"2130 Basten St  Green Bay WI  54302-5398",Brown,7,11845,2289,140,22890140,5505820,00616,44.509154,-87.970583,1,rooftop,2130,"Basten St","Green Bay",WI,"Brown County",54302,US,Brown
"Darlington El/Mid","Darlington Community","Elementary School",K4,8,"Public school",Regular,No,"11630 Center Hill Rd  Darlington WI  53530-9764",Lafayette,3,30750,1295,160,12950160,5503150,00704,42.663422,-90.123597,1,rooftop,11630,"Center Hill Rd",Darlington,WI,"Lafayette County",53530,US,Statewide
"Darlington Hi","Darlington Community","High School",9,12,"Public school",Regular,No,"11838 Center Hill Rd  Darlington WI  53530-9605",Lafayette,3,06310,1295,40,12950040,5503150,00348,42.665522,-90.125006,1,rooftop,11838,"Center Hill Rd",Darlington,WI,"Lafayette County",53530,US,Statewide
